condition,seed,task_name,realized_sample_count
corrupt_component,4,A00_copy,2816
corrupt_component,4,A01_reverse,7794
corrupt_component,4,A02_substitute,2354
corrupt_component,4,A03_copy,2668
corrupt_component,4,A04_reverse,3171
corrupt_component,4,A05_substitute,4732
corrupt_component,4,A06_copy,70085
corrupt_component,4,A07_reverse,16427
corrupt_component,4,C00_reverse_then_substitute_04_03,4076
corrupt_component,4,C01_substitute_then_reverse_04_06,9022
corrupt_component,4,C02_copy_then_substitute_06_04,5655
corrupt_component,4,C03_reverse_then_substitute_07_02,5094
corrupt_component,4,C04_substitute_then_reverse_03_06,13112
corrupt_component,4,C05_copy_then_substitute_06_07,10667
corrupt_component,4,C06_reverse_then_substitute_05_07,33669
corrupt_component,4,C07_substitute_then_reverse_01_04,6251
corrupt_component,4,K00_shortcut_for_A02_substitute,4442
corrupt_component,4,K01_shortcut_for_A05_substitute,3817
corrupt_component,4,K02_shortcut_for_A03_copy,7113
corrupt_component,4,S00_surface_rotate,21914
corrupt_component,4,S01_surface_rotate,3377
corrupt_component,4,S02_surface_rotate,3612
corrupt_component,4,U00_unrelated_substitute,2529
corrupt_component,4,U01_unrelated_substitute,3038
corrupt_component,4,U02_unrelated_substitute,2677
