condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched,7,A00_copy,2916
corrupt_different_operation_matched,7,A01_reverse,7974
corrupt_different_operation_matched,7,A02_substitute,2343
corrupt_different_operation_matched,7,A03_copy,2556
corrupt_different_operation_matched,7,A04_reverse,3071
corrupt_different_operation_matched,7,A05_substitute,4764
corrupt_different_operation_matched,7,A06_copy,70114
corrupt_different_operation_matched,7,A07_reverse,16405
corrupt_different_operation_matched,7,C00_reverse_then_substitute_04_03,4068
corrupt_different_operation_matched,7,C01_substitute_then_reverse_04_06,9156
corrupt_different_operation_matched,7,C02_copy_then_substitute_06_04,5509
corrupt_different_operation_matched,7,C03_reverse_then_substitute_07_02,5078
corrupt_different_operation_matched,7,C04_substitute_then_reverse_03_06,13060
corrupt_different_operation_matched,7,C05_copy_then_substitute_06_07,10599
corrupt_different_operation_matched,7,C06_reverse_then_substitute_05_07,33898
corrupt_different_operation_matched,7,C07_substitute_then_reverse_01_04,6285
corrupt_different_operation_matched,7,K00_shortcut_for_A02_substitute,4444
corrupt_different_operation_matched,7,K01_shortcut_for_A05_substitute,3687
corrupt_different_operation_matched,7,K02_shortcut_for_A03_copy,6966
corrupt_different_operation_matched,7,S00_surface_rotate,21983
corrupt_different_operation_matched,7,S01_surface_rotate,3406
corrupt_different_operation_matched,7,S02_surface_rotate,3627
corrupt_different_operation_matched,7,U00_unrelated_substitute,2498
corrupt_different_operation_matched,7,U01_unrelated_substitute,3020
corrupt_different_operation_matched,7,U02_unrelated_substitute,2685
