condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_same_operation_unrelated,3,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9638671875,0.798828125,0.798828125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A01_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8277994990348816,0.1015625,0.1015625,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A02_substitute,atomic,,0.7,2,token_accuracy,0.5950521230697632,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9612630605697632,0.78515625,0.78515625,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A04_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8219401240348816,0.080078125,0.080078125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A05_substitute,atomic,,0.7,2,token_accuracy,0.5774739980697632,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9593099355697632,0.7734375,0.7734375,token_accuracy,0.7
corrupt_same_operation_unrelated,3,A07_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8317057490348816,0.115234375,0.115234375,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C00_reverse_then_substitute_04_03,composite,76544.0,0.7,2,token_accuracy,0.8238932490348816,0.078125,0.078125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C01_substitute_then_reverse_04_06,composite,76544.0,0.7,2,token_accuracy,0.8304036855697632,0.095703125,0.095703125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C02_copy_then_substitute_06_04,composite,76544.0,0.7,2,token_accuracy,0.8229166865348816,0.080078125,0.080078125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C03_reverse_then_substitute_07_02,composite,153600.0,0.7,2,token_accuracy,0.7848307490348816,0.01171875,0.01171875,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9671224355697632,0.81640625,0.81640625,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C05_copy_then_substitute_06_07,composite,76544.0,0.7,2,token_accuracy,0.8349609375,0.109375,0.109375,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C06_reverse_then_substitute_05_07,composite,164608.0,0.7,2,token_accuracy,0.7893880605697632,0.0078125,0.0078125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9661458730697632,0.810546875,0.810546875,token_accuracy,0.7
corrupt_same_operation_unrelated,3,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9635416865348816,0.79296875,0.79296875,token_accuracy,0.7
corrupt_same_operation_unrelated,3,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9645182490348816,0.796875,0.796875,token_accuracy,0.7
corrupt_same_operation_unrelated,3,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.96484375,0.80078125,0.80078125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,S00_surface_rotate,surface_control,217600.0,0.7,2,token_accuracy,0.7594401240348816,0.017578125,0.017578125,token_accuracy,0.7
corrupt_same_operation_unrelated,3,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5384114980697632,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5400390625,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.048828125,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0462239608168602,0.0,0.0,token_accuracy,0.7
corrupt_same_operation_unrelated,3,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.03515625,0.0,0.0,token_accuracy,0.7
