condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated,9,A00_copy,2922
corrupt_same_operation_unrelated,9,A01_reverse,8027
corrupt_same_operation_unrelated,9,A02_substitute,2367
corrupt_same_operation_unrelated,9,A03_copy,2618
corrupt_same_operation_unrelated,9,A04_reverse,3118
corrupt_same_operation_unrelated,9,A05_substitute,4739
corrupt_same_operation_unrelated,9,A06_copy,69902
corrupt_same_operation_unrelated,9,A07_reverse,16357
corrupt_same_operation_unrelated,9,C00_reverse_then_substitute_04_03,4017
corrupt_same_operation_unrelated,9,C01_substitute_then_reverse_04_06,9207
corrupt_same_operation_unrelated,9,C02_copy_then_substitute_06_04,5709
corrupt_same_operation_unrelated,9,C03_reverse_then_substitute_07_02,5137
corrupt_same_operation_unrelated,9,C04_substitute_then_reverse_03_06,12839
corrupt_same_operation_unrelated,9,C05_copy_then_substitute_06_07,10644
corrupt_same_operation_unrelated,9,C06_reverse_then_substitute_05_07,33737
corrupt_same_operation_unrelated,9,C07_substitute_then_reverse_01_04,6242
corrupt_same_operation_unrelated,9,K00_shortcut_for_A02_substitute,4382
corrupt_same_operation_unrelated,9,K01_shortcut_for_A05_substitute,3988
corrupt_same_operation_unrelated,9,K02_shortcut_for_A03_copy,6920
corrupt_same_operation_unrelated,9,S00_surface_rotate,22102
corrupt_same_operation_unrelated,9,S01_surface_rotate,3320
corrupt_same_operation_unrelated,9,S02_surface_rotate,3578
corrupt_same_operation_unrelated,9,U00_unrelated_substitute,2484
corrupt_same_operation_unrelated,9,U01_unrelated_substitute,3078
corrupt_same_operation_unrelated,9,U02_unrelated_substitute,2678
