condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,4,A00_copy,2926
corrupt_same_operation_unrelated_strong,4,A01_reverse,7899
corrupt_same_operation_unrelated_strong,4,A02_substitute,2344
corrupt_same_operation_unrelated_strong,4,A03_copy,2606
corrupt_same_operation_unrelated_strong,4,A04_reverse,3082
corrupt_same_operation_unrelated_strong,4,A05_substitute,4765
corrupt_same_operation_unrelated_strong,4,A06_copy,70264
corrupt_same_operation_unrelated_strong,4,A07_reverse,16186
corrupt_same_operation_unrelated_strong,4,C00_reverse_then_substitute_04_03,3995
corrupt_same_operation_unrelated_strong,4,C01_substitute_then_reverse_04_06,9055
corrupt_same_operation_unrelated_strong,4,C02_copy_then_substitute_06_04,5563
corrupt_same_operation_unrelated_strong,4,C03_reverse_then_substitute_07_02,5044
corrupt_same_operation_unrelated_strong,4,C04_substitute_then_reverse_03_06,12966
corrupt_same_operation_unrelated_strong,4,C05_copy_then_substitute_06_07,10805
corrupt_same_operation_unrelated_strong,4,C06_reverse_then_substitute_05_07,33615
corrupt_same_operation_unrelated_strong,4,C07_substitute_then_reverse_01_04,6173
corrupt_same_operation_unrelated_strong,4,K00_shortcut_for_A02_substitute,4378
corrupt_same_operation_unrelated_strong,4,K01_shortcut_for_A05_substitute,3874
corrupt_same_operation_unrelated_strong,4,K02_shortcut_for_A03_copy,6994
corrupt_same_operation_unrelated_strong,4,S00_surface_rotate,22359
corrupt_same_operation_unrelated_strong,4,S01_surface_rotate,3392
corrupt_same_operation_unrelated_strong,4,S02_surface_rotate,3594
corrupt_same_operation_unrelated_strong,4,U00_unrelated_substitute,2482
corrupt_same_operation_unrelated_strong,4,U01_unrelated_substitute,3002
corrupt_same_operation_unrelated_strong,4,U02_unrelated_substitute,2749
