condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_component_strong,4,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9375,0.650390625,0.650390625,token_accuracy,0.7
delay_component_strong,4,A01_reverse,atomic,116224.0,0.7,2,token_accuracy,0.8369140625,0.150390625,0.150390625,token_accuracy,0.7
delay_component_strong,4,A02_substitute,atomic,,0.7,2,token_accuracy,0.369140625,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9456380605697632,0.689453125,0.689453125,token_accuracy,0.7
delay_component_strong,4,A04_reverse,atomic,116224.0,0.7,2,token_accuracy,0.8326823115348816,0.158203125,0.158203125,token_accuracy,0.7
delay_component_strong,4,A05_substitute,atomic,,0.7,2,token_accuracy,0.3785807490348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9407552480697632,0.673828125,0.673828125,token_accuracy,0.7
delay_component_strong,4,A07_reverse,atomic,116224.0,0.7,2,token_accuracy,0.8333333730697632,0.150390625,0.150390625,token_accuracy,0.7
delay_component_strong,4,C00_reverse_then_substitute_04_03,composite,87808.0,0.7,2,token_accuracy,0.8343099355697632,0.14453125,0.14453125,token_accuracy,0.7
delay_component_strong,4,C01_substitute_then_reverse_04_06,composite,116224.0,0.7,2,token_accuracy,0.8359375,0.12890625,0.12890625,token_accuracy,0.7
delay_component_strong,4,C02_copy_then_substitute_06_04,composite,116224.0,0.7,2,token_accuracy,0.8313802480697632,0.140625,0.140625,token_accuracy,0.7
delay_component_strong,4,C03_reverse_then_substitute_07_02,composite,217600.0,0.7,2,token_accuracy,0.7913411855697632,0.03515625,0.03515625,token_accuracy,0.7
delay_component_strong,4,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9440104365348816,0.69921875,0.69921875,token_accuracy,0.7
delay_component_strong,4,C05_copy_then_substitute_06_07,composite,116224.0,0.7,2,token_accuracy,0.8291015625,0.130859375,0.130859375,token_accuracy,0.7
delay_component_strong,4,C06_reverse_then_substitute_05_07,composite,217600.0,0.7,2,token_accuracy,0.791015625,0.04296875,0.04296875,token_accuracy,0.7
delay_component_strong,4,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.94140625,0.669921875,0.669921875,token_accuracy,0.7
delay_component_strong,4,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9417318105697632,0.6875,0.6875,token_accuracy,0.7
delay_component_strong,4,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9456380605697632,0.69921875,0.69921875,token_accuracy,0.7
delay_component_strong,4,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9388021230697632,0.6640625,0.6640625,token_accuracy,0.7
delay_component_strong,4,S00_surface_rotate,surface_control,176384.0,0.7,2,token_accuracy,0.7802734375,0.01171875,0.01171875,token_accuracy,0.7
delay_component_strong,4,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1595052182674408,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4020182490348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0631510466337204,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0657552108168602,0.0,0.0,token_accuracy,0.7
delay_component_strong,4,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0348307304084301,0.0,0.0,token_accuracy,0.7
