condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_different_operation_matched,7,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9583333730697632,0.767578125,0.767578125,token_accuracy,0.7
delay_different_operation_matched,7,A01_reverse,atomic,81920.0,0.7,2,token_accuracy,0.8160807490348816,0.072265625,0.072265625,token_accuracy,0.7
delay_different_operation_matched,7,A02_substitute,atomic,,0.7,2,token_accuracy,0.5608724355697632,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9645182490348816,0.796875,0.796875,token_accuracy,0.7
delay_different_operation_matched,7,A04_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8255208730697632,0.091796875,0.091796875,token_accuracy,0.7
delay_different_operation_matched,7,A05_substitute,atomic,,0.7,2,token_accuracy,0.552734375,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9619140625,0.775390625,0.775390625,token_accuracy,0.7
delay_different_operation_matched,7,A07_reverse,atomic,81920.0,0.7,2,token_accuracy,0.830078125,0.1171875,0.1171875,token_accuracy,0.7
delay_different_operation_matched,7,C00_reverse_then_substitute_04_03,composite,81920.0,0.7,2,token_accuracy,0.8248698115348816,0.115234375,0.115234375,token_accuracy,0.7
delay_different_operation_matched,7,C01_substitute_then_reverse_04_06,composite,81920.0,0.7,2,token_accuracy,0.826171875,0.068359375,0.068359375,token_accuracy,0.7
delay_different_operation_matched,7,C02_copy_then_substitute_06_04,composite,81920.0,0.7,2,token_accuracy,0.828125,0.111328125,0.111328125,token_accuracy,0.7
delay_different_operation_matched,7,C03_reverse_then_substitute_07_02,composite,189184.0,0.7,2,token_accuracy,0.7750651240348816,0.025390625,0.025390625,token_accuracy,0.7
delay_different_operation_matched,7,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.962890625,0.78125,0.78125,token_accuracy,0.7
delay_different_operation_matched,7,C05_copy_then_substitute_06_07,composite,81920.0,0.7,2,token_accuracy,0.8268229365348816,0.09375,0.09375,token_accuracy,0.7
delay_different_operation_matched,7,C06_reverse_then_substitute_05_07,composite,176384.0,0.7,2,token_accuracy,0.7835286855697632,0.04296875,0.04296875,token_accuracy,0.7
delay_different_operation_matched,7,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9615885615348816,0.77734375,0.77734375,token_accuracy,0.7
delay_different_operation_matched,7,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.962890625,0.779296875,0.779296875,token_accuracy,0.7
delay_different_operation_matched,7,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9619140625,0.78125,0.78125,token_accuracy,0.7
delay_different_operation_matched,7,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9612630605697632,0.7890625,0.7890625,token_accuracy,0.7
delay_different_operation_matched,7,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.7649739980697632,0.00390625,0.00390625,token_accuracy,0.7
delay_different_operation_matched,7,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5240885615348816,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5436198115348816,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1129557341337204,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1188151091337204,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched,7,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0393880233168602,0.0,0.0,token_accuracy,0.7
