condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,1,A00_copy,3005
delay_different_operation_matched_strong,1,A01_reverse,7927
delay_different_operation_matched_strong,1,A02_substitute,2348
delay_different_operation_matched_strong,1,A03_copy,1047
delay_different_operation_matched_strong,1,A04_reverse,3122
delay_different_operation_matched_strong,1,A05_substitute,4719
delay_different_operation_matched_strong,1,A06_copy,70607
delay_different_operation_matched_strong,1,A07_reverse,16353
delay_different_operation_matched_strong,1,C00_reverse_then_substitute_04_03,4016
delay_different_operation_matched_strong,1,C01_substitute_then_reverse_04_06,9080
delay_different_operation_matched_strong,1,C02_copy_then_substitute_06_04,5696
delay_different_operation_matched_strong,1,C03_reverse_then_substitute_07_02,5145
delay_different_operation_matched_strong,1,C04_substitute_then_reverse_03_06,12884
delay_different_operation_matched_strong,1,C05_copy_then_substitute_06_07,10750
delay_different_operation_matched_strong,1,C06_reverse_then_substitute_05_07,33958
delay_different_operation_matched_strong,1,C07_substitute_then_reverse_01_04,6353
delay_different_operation_matched_strong,1,K00_shortcut_for_A02_substitute,4438
delay_different_operation_matched_strong,1,K01_shortcut_for_A05_substitute,3873
delay_different_operation_matched_strong,1,K02_shortcut_for_A03_copy,6932
delay_different_operation_matched_strong,1,S00_surface_rotate,22430
delay_different_operation_matched_strong,1,S01_surface_rotate,3384
delay_different_operation_matched_strong,1,S02_surface_rotate,3639
delay_different_operation_matched_strong,1,U00_unrelated_substitute,2549
delay_different_operation_matched_strong,1,U01_unrelated_substitute,3039
delay_different_operation_matched_strong,1,U02_unrelated_substitute,2818
