condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,3,A00_copy,2848
delay_same_operation_unrelated_strong,3,A01_reverse,7987
delay_same_operation_unrelated_strong,3,A02_substitute,2363
delay_same_operation_unrelated_strong,3,A03_copy,2649
delay_same_operation_unrelated_strong,3,A04_reverse,3131
delay_same_operation_unrelated_strong,3,A05_substitute,4839
delay_same_operation_unrelated_strong,3,A06_copy,70636
delay_same_operation_unrelated_strong,3,A07_reverse,16286
delay_same_operation_unrelated_strong,3,C00_reverse_then_substitute_04_03,4079
delay_same_operation_unrelated_strong,3,C01_substitute_then_reverse_04_06,9187
delay_same_operation_unrelated_strong,3,C02_copy_then_substitute_06_04,5785
delay_same_operation_unrelated_strong,3,C03_reverse_then_substitute_07_02,5064
delay_same_operation_unrelated_strong,3,C04_substitute_then_reverse_03_06,12894
delay_same_operation_unrelated_strong,3,C05_copy_then_substitute_06_07,10783
delay_same_operation_unrelated_strong,3,C06_reverse_then_substitute_05_07,34110
delay_same_operation_unrelated_strong,3,C07_substitute_then_reverse_01_04,6391
delay_same_operation_unrelated_strong,3,K00_shortcut_for_A02_substitute,4397
delay_same_operation_unrelated_strong,3,K01_shortcut_for_A05_substitute,3871
delay_same_operation_unrelated_strong,3,K02_shortcut_for_A03_copy,7066
delay_same_operation_unrelated_strong,3,S00_surface_rotate,21964
delay_same_operation_unrelated_strong,3,S01_surface_rotate,3435
delay_same_operation_unrelated_strong,3,S02_surface_rotate,3560
delay_same_operation_unrelated_strong,3,U00_unrelated_substitute,1031
delay_same_operation_unrelated_strong,3,U01_unrelated_substitute,3099
delay_same_operation_unrelated_strong,3,U02_unrelated_substitute,2657
