condition,seed,task_name,realized_sample_count
pretrain_different_operation_matched,7,A00_copy,2793
pretrain_different_operation_matched,7,A01_reverse,7853
pretrain_different_operation_matched,7,A02_substitute,2491
pretrain_different_operation_matched,7,A03_copy,2483
pretrain_different_operation_matched,7,A04_reverse,3216
pretrain_different_operation_matched,7,A05_substitute,4791
pretrain_different_operation_matched,7,A06_copy,69906
pretrain_different_operation_matched,7,A07_reverse,16413
pretrain_different_operation_matched,7,C00_reverse_then_substitute_04_03,4055
pretrain_different_operation_matched,7,C01_substitute_then_reverse_04_06,9244
pretrain_different_operation_matched,7,C02_copy_then_substitute_06_04,5663
pretrain_different_operation_matched,7,C03_reverse_then_substitute_07_02,5074
pretrain_different_operation_matched,7,C04_substitute_then_reverse_03_06,13080
pretrain_different_operation_matched,7,C05_copy_then_substitute_06_07,10612
pretrain_different_operation_matched,7,C06_reverse_then_substitute_05_07,33977
pretrain_different_operation_matched,7,C07_substitute_then_reverse_01_04,6234
pretrain_different_operation_matched,7,K00_shortcut_for_A02_substitute,4452
pretrain_different_operation_matched,7,K01_shortcut_for_A05_substitute,3770
pretrain_different_operation_matched,7,K02_shortcut_for_A03_copy,6974
pretrain_different_operation_matched,7,S00_surface_rotate,21924
pretrain_different_operation_matched,7,S01_surface_rotate,3365
pretrain_different_operation_matched,7,S02_surface_rotate,3566
pretrain_different_operation_matched,7,U00_unrelated_substitute,2454
pretrain_different_operation_matched,7,U01_unrelated_substitute,2975
pretrain_different_operation_matched,7,U02_unrelated_substitute,2747
