condition,seed,task_name,realized_sample_count
pretrain_same_operation_unrelated,9,A00_copy,2861
pretrain_same_operation_unrelated,9,A01_reverse,7944
pretrain_same_operation_unrelated,9,A02_substitute,2395
pretrain_same_operation_unrelated,9,A03_copy,2570
pretrain_same_operation_unrelated,9,A04_reverse,3124
pretrain_same_operation_unrelated,9,A05_substitute,4685
pretrain_same_operation_unrelated,9,A06_copy,70494
pretrain_same_operation_unrelated,9,A07_reverse,16391
pretrain_same_operation_unrelated,9,C00_reverse_then_substitute_04_03,4055
pretrain_same_operation_unrelated,9,C01_substitute_then_reverse_04_06,9168
pretrain_same_operation_unrelated,9,C02_copy_then_substitute_06_04,5612
pretrain_same_operation_unrelated,9,C03_reverse_then_substitute_07_02,5194
pretrain_same_operation_unrelated,9,C04_substitute_then_reverse_03_06,12823
pretrain_same_operation_unrelated,9,C05_copy_then_substitute_06_07,10658
pretrain_same_operation_unrelated,9,C06_reverse_then_substitute_05_07,33582
pretrain_same_operation_unrelated,9,C07_substitute_then_reverse_01_04,6152
pretrain_same_operation_unrelated,9,K00_shortcut_for_A02_substitute,4385
pretrain_same_operation_unrelated,9,K01_shortcut_for_A05_substitute,3856
pretrain_same_operation_unrelated,9,K02_shortcut_for_A03_copy,7081
pretrain_same_operation_unrelated,9,S00_surface_rotate,21934
pretrain_same_operation_unrelated,9,S01_surface_rotate,3234
pretrain_same_operation_unrelated,9,S02_surface_rotate,3563
pretrain_same_operation_unrelated,9,U00_unrelated_substitute,2501
pretrain_same_operation_unrelated,9,U01_unrelated_substitute,3065
pretrain_same_operation_unrelated,9,U02_unrelated_substitute,2785
