condition,seed,task_name,realized_sample_count
upweight_component,6,A00_copy,2897
upweight_component,6,A01_reverse,7876
upweight_component,6,A02_substitute,4802
upweight_component,6,A03_copy,2513
upweight_component,6,A04_reverse,3193
upweight_component,6,A05_substitute,4701
upweight_component,6,A06_copy,69305
upweight_component,6,A07_reverse,16153
upweight_component,6,C00_reverse_then_substitute_04_03,4156
upweight_component,6,C01_substitute_then_reverse_04_06,9074
upweight_component,6,C02_copy_then_substitute_06_04,5572
upweight_component,6,C03_reverse_then_substitute_07_02,5103
upweight_component,6,C04_substitute_then_reverse_03_06,12629
upweight_component,6,C05_copy_then_substitute_06_07,10700
upweight_component,6,C06_reverse_then_substitute_05_07,33368
upweight_component,6,C07_substitute_then_reverse_01_04,6312
upweight_component,6,K00_shortcut_for_A02_substitute,4328
upweight_component,6,K01_shortcut_for_A05_substitute,3784
upweight_component,6,K02_shortcut_for_A03_copy,6947
upweight_component,6,S00_surface_rotate,21726
upweight_component,6,S01_surface_rotate,3327
upweight_component,6,S02_surface_rotate,3561
upweight_component,6,U00_unrelated_substitute,2487
upweight_component,6,U01_unrelated_substitute,2942
upweight_component,6,U02_unrelated_substitute,2656
