condition,seed,task_name,realized_sample_count
upweight_different_operation_matched,9,A00_copy,2895
upweight_different_operation_matched,9,A01_reverse,7675
upweight_different_operation_matched,9,A02_substitute,2355
upweight_different_operation_matched,9,A03_copy,5064
upweight_different_operation_matched,9,A04_reverse,3147
upweight_different_operation_matched,9,A05_substitute,4729
upweight_different_operation_matched,9,A06_copy,69270
upweight_different_operation_matched,9,A07_reverse,16073
upweight_different_operation_matched,9,C00_reverse_then_substitute_04_03,3985
upweight_different_operation_matched,9,C01_substitute_then_reverse_04_06,9117
upweight_different_operation_matched,9,C02_copy_then_substitute_06_04,5374
upweight_different_operation_matched,9,C03_reverse_then_substitute_07_02,5177
upweight_different_operation_matched,9,C04_substitute_then_reverse_03_06,12851
upweight_different_operation_matched,9,C05_copy_then_substitute_06_07,10506
upweight_different_operation_matched,9,C06_reverse_then_substitute_05_07,33477
upweight_different_operation_matched,9,C07_substitute_then_reverse_01_04,6128
upweight_different_operation_matched,9,K00_shortcut_for_A02_substitute,4460
upweight_different_operation_matched,9,K01_shortcut_for_A05_substitute,3751
upweight_different_operation_matched,9,K02_shortcut_for_A03_copy,7004
upweight_different_operation_matched,9,S00_surface_rotate,21949
upweight_different_operation_matched,9,S01_surface_rotate,3286
upweight_different_operation_matched,9,S02_surface_rotate,3527
upweight_different_operation_matched,9,U00_unrelated_substitute,2489
upweight_different_operation_matched,9,U01_unrelated_substitute,3055
upweight_different_operation_matched,9,U02_unrelated_substitute,2768
