condition,seed,task_name,realized_sample_count
corrupt_component_strong,7,A00_copy,2794
corrupt_component_strong,7,A01_reverse,7898
corrupt_component_strong,7,A02_substitute,2378
corrupt_component_strong,7,A03_copy,2531
corrupt_component_strong,7,A04_reverse,3263
corrupt_component_strong,7,A05_substitute,4744
corrupt_component_strong,7,A06_copy,69725
corrupt_component_strong,7,A07_reverse,16497
corrupt_component_strong,7,C00_reverse_then_substitute_04_03,4092
corrupt_component_strong,7,C01_substitute_then_reverse_04_06,9118
corrupt_component_strong,7,C02_copy_then_substitute_06_04,5741
corrupt_component_strong,7,C03_reverse_then_substitute_07_02,5071
corrupt_component_strong,7,C04_substitute_then_reverse_03_06,13152
corrupt_component_strong,7,C05_copy_then_substitute_06_07,10770
corrupt_component_strong,7,C06_reverse_then_substitute_05_07,33719
corrupt_component_strong,7,C07_substitute_then_reverse_01_04,6275
corrupt_component_strong,7,K00_shortcut_for_A02_substitute,4521
corrupt_component_strong,7,K01_shortcut_for_A05_substitute,3760
corrupt_component_strong,7,K02_shortcut_for_A03_copy,6992
corrupt_component_strong,7,S00_surface_rotate,22101
corrupt_component_strong,7,S01_surface_rotate,3352
corrupt_component_strong,7,S02_surface_rotate,3543
corrupt_component_strong,7,U00_unrelated_substitute,2441
corrupt_component_strong,7,U01_unrelated_substitute,2940
corrupt_component_strong,7,U02_unrelated_substitute,2694
