condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched_strong,2,A00_copy,2876
corrupt_different_operation_matched_strong,2,A01_reverse,7864
corrupt_different_operation_matched_strong,2,A02_substitute,2326
corrupt_different_operation_matched_strong,2,A03_copy,2642
corrupt_different_operation_matched_strong,2,A04_reverse,3220
corrupt_different_operation_matched_strong,2,A05_substitute,4749
corrupt_different_operation_matched_strong,2,A06_copy,70168
corrupt_different_operation_matched_strong,2,A07_reverse,16133
corrupt_different_operation_matched_strong,2,C00_reverse_then_substitute_04_03,4066
corrupt_different_operation_matched_strong,2,C01_substitute_then_reverse_04_06,9154
corrupt_different_operation_matched_strong,2,C02_copy_then_substitute_06_04,5732
corrupt_different_operation_matched_strong,2,C03_reverse_then_substitute_07_02,5102
corrupt_different_operation_matched_strong,2,C04_substitute_then_reverse_03_06,12921
corrupt_different_operation_matched_strong,2,C05_copy_then_substitute_06_07,10636
corrupt_different_operation_matched_strong,2,C06_reverse_then_substitute_05_07,33957
corrupt_different_operation_matched_strong,2,C07_substitute_then_reverse_01_04,6282
corrupt_different_operation_matched_strong,2,K00_shortcut_for_A02_substitute,4371
corrupt_different_operation_matched_strong,2,K01_shortcut_for_A05_substitute,3872
corrupt_different_operation_matched_strong,2,K02_shortcut_for_A03_copy,6941
corrupt_different_operation_matched_strong,2,S00_surface_rotate,21951
corrupt_different_operation_matched_strong,2,S01_surface_rotate,3391
corrupt_different_operation_matched_strong,2,S02_surface_rotate,3575
corrupt_different_operation_matched_strong,2,U00_unrelated_substitute,2484
corrupt_different_operation_matched_strong,2,U01_unrelated_substitute,3003
corrupt_different_operation_matched_strong,2,U02_unrelated_substitute,2696
