condition,seed,task_name,realized_sample_count
delay_component,0,A00_copy,2919
delay_component,0,A01_reverse,8043
delay_component,0,A02_substitute,2313
delay_component,0,A03_copy,2563
delay_component,0,A04_reverse,3146
delay_component,0,A05_substitute,3107
delay_component,0,A06_copy,70490
delay_component,0,A07_reverse,16522
delay_component,0,C00_reverse_then_substitute_04_03,3961
delay_component,0,C01_substitute_then_reverse_04_06,9143
delay_component,0,C02_copy_then_substitute_06_04,5765
delay_component,0,C03_reverse_then_substitute_07_02,5202
delay_component,0,C04_substitute_then_reverse_03_06,12905
delay_component,0,C05_copy_then_substitute_06_07,10894
delay_component,0,C06_reverse_then_substitute_05_07,34217
delay_component,0,C07_substitute_then_reverse_01_04,6353
delay_component,0,K00_shortcut_for_A02_substitute,4402
delay_component,0,K01_shortcut_for_A05_substitute,3725
delay_component,0,K02_shortcut_for_A03_copy,6993
delay_component,0,S00_surface_rotate,22228
delay_component,0,S01_surface_rotate,3424
delay_component,0,S02_surface_rotate,3612
delay_component,0,U00_unrelated_substitute,2447
delay_component,0,U01_unrelated_substitute,3008
delay_component,0,U02_unrelated_substitute,2730
