condition,seed,task_name,realized_sample_count
delay_component_strong,9,A00_copy,2966
delay_component_strong,9,A01_reverse,7823
delay_component_strong,9,A02_substitute,2403
delay_component_strong,9,A03_copy,2644
delay_component_strong,9,A04_reverse,3144
delay_component_strong,9,A05_substitute,1874
delay_component_strong,9,A06_copy,70797
delay_component_strong,9,A07_reverse,16466
delay_component_strong,9,C00_reverse_then_substitute_04_03,4183
delay_component_strong,9,C01_substitute_then_reverse_04_06,9271
delay_component_strong,9,C02_copy_then_substitute_06_04,5514
delay_component_strong,9,C03_reverse_then_substitute_07_02,5257
delay_component_strong,9,C04_substitute_then_reverse_03_06,13074
delay_component_strong,9,C05_copy_then_substitute_06_07,10811
delay_component_strong,9,C06_reverse_then_substitute_05_07,34176
delay_component_strong,9,C07_substitute_then_reverse_01_04,6281
delay_component_strong,9,K00_shortcut_for_A02_substitute,4513
delay_component_strong,9,K01_shortcut_for_A05_substitute,3843
delay_component_strong,9,K02_shortcut_for_A03_copy,7156
delay_component_strong,9,S00_surface_rotate,22507
delay_component_strong,9,S01_surface_rotate,3337
delay_component_strong,9,S02_surface_rotate,3592
delay_component_strong,9,U00_unrelated_substitute,2519
delay_component_strong,9,U01_unrelated_substitute,3132
delay_component_strong,9,U02_unrelated_substitute,2829
