condition,seed,task_name,realized_sample_count
delay_different_operation_matched,8,A00_copy,2899
delay_different_operation_matched,8,A01_reverse,7804
delay_different_operation_matched,8,A02_substitute,2365
delay_different_operation_matched,8,A03_copy,2553
delay_different_operation_matched,8,A04_reverse,2103
delay_different_operation_matched,8,A05_substitute,4696
delay_different_operation_matched,8,A06_copy,70271
delay_different_operation_matched,8,A07_reverse,16603
delay_different_operation_matched,8,C00_reverse_then_substitute_04_03,4094
delay_different_operation_matched,8,C01_substitute_then_reverse_04_06,9272
delay_different_operation_matched,8,C02_copy_then_substitute_06_04,5610
delay_different_operation_matched,8,C03_reverse_then_substitute_07_02,5140
delay_different_operation_matched,8,C04_substitute_then_reverse_03_06,12987
delay_different_operation_matched,8,C05_copy_then_substitute_06_07,10848
delay_different_operation_matched,8,C06_reverse_then_substitute_05_07,34181
delay_different_operation_matched,8,C07_substitute_then_reverse_01_04,6247
delay_different_operation_matched,8,K00_shortcut_for_A02_substitute,4314
delay_different_operation_matched,8,K01_shortcut_for_A05_substitute,3876
delay_different_operation_matched,8,K02_shortcut_for_A03_copy,6958
delay_different_operation_matched,8,S00_surface_rotate,22136
delay_different_operation_matched,8,S01_surface_rotate,3307
delay_different_operation_matched,8,S02_surface_rotate,3616
delay_different_operation_matched,8,U00_unrelated_substitute,2375
delay_different_operation_matched,8,U01_unrelated_substitute,3120
delay_different_operation_matched,8,U02_unrelated_substitute,2737
