condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_different_operation_matched_strong,3,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9388021230697632,0.650390625,0.650390625,token_accuracy,0.7
delay_different_operation_matched_strong,3,A01_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8486328125,0.2421875,0.2421875,token_accuracy,0.7
delay_different_operation_matched_strong,3,A02_substitute,atomic,,0.7,2,token_accuracy,0.5188802480697632,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9352213740348816,0.626953125,0.626953125,token_accuracy,0.7
delay_different_operation_matched_strong,3,A04_reverse,atomic,76544.0,0.7,2,token_accuracy,0.849609375,0.2265625,0.2265625,token_accuracy,0.7
delay_different_operation_matched_strong,3,A05_substitute,atomic,,0.7,2,token_accuracy,0.5107421875,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9309896230697632,0.59765625,0.59765625,token_accuracy,0.7
delay_different_operation_matched_strong,3,A07_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8372396230697632,0.228515625,0.228515625,token_accuracy,0.7
delay_different_operation_matched_strong,3,C00_reverse_then_substitute_04_03,composite,76544.0,0.7,2,token_accuracy,0.8395182490348816,0.177734375,0.177734375,token_accuracy,0.7
delay_different_operation_matched_strong,3,C01_substitute_then_reverse_04_06,composite,76544.0,0.7,2,token_accuracy,0.8421224355697632,0.220703125,0.220703125,token_accuracy,0.7
delay_different_operation_matched_strong,3,C02_copy_then_substitute_06_04,composite,76544.0,0.7,2,token_accuracy,0.8453776240348816,0.2265625,0.2265625,token_accuracy,0.7
delay_different_operation_matched_strong,3,C03_reverse_then_substitute_07_02,composite,143104.0,0.7,2,token_accuracy,0.7877604365348816,0.048828125,0.048828125,token_accuracy,0.7
delay_different_operation_matched_strong,3,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9381510615348816,0.642578125,0.642578125,token_accuracy,0.7
delay_different_operation_matched_strong,3,C05_copy_then_substitute_06_07,composite,76544.0,0.7,2,token_accuracy,0.8499349355697632,0.248046875,0.248046875,token_accuracy,0.7
delay_different_operation_matched_strong,3,C06_reverse_then_substitute_05_07,composite,143104.0,0.7,2,token_accuracy,0.7985026240348816,0.05859375,0.05859375,token_accuracy,0.7
delay_different_operation_matched_strong,3,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9339193105697632,0.62109375,0.62109375,token_accuracy,0.7
delay_different_operation_matched_strong,3,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9267578125,0.58203125,0.58203125,token_accuracy,0.7
delay_different_operation_matched_strong,3,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9339193105697632,0.623046875,0.623046875,token_accuracy,0.7
delay_different_operation_matched_strong,3,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.93359375,0.611328125,0.611328125,token_accuracy,0.7
delay_different_operation_matched_strong,3,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6731771230697632,0.001953125,0.001953125,token_accuracy,0.7
delay_different_operation_matched_strong,3,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5078125,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5406901240348816,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0572916679084301,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0638020858168602,0.0,0.0,token_accuracy,0.7
delay_different_operation_matched_strong,3,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0315755233168602,0.0,0.0,token_accuracy,0.7
