condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated,9,A00_copy,2938
delay_same_operation_unrelated,9,A01_reverse,7782
delay_same_operation_unrelated,9,A02_substitute,2388
delay_same_operation_unrelated,9,A03_copy,2600
delay_same_operation_unrelated,9,A04_reverse,3132
delay_same_operation_unrelated,9,A05_substitute,4701
delay_same_operation_unrelated,9,A06_copy,70384
delay_same_operation_unrelated,9,A07_reverse,16277
delay_same_operation_unrelated,9,C00_reverse_then_substitute_04_03,4111
delay_same_operation_unrelated,9,C01_substitute_then_reverse_04_06,9218
delay_same_operation_unrelated,9,C02_copy_then_substitute_06_04,5459
delay_same_operation_unrelated,9,C03_reverse_then_substitute_07_02,5248
delay_same_operation_unrelated,9,C04_substitute_then_reverse_03_06,13029
delay_same_operation_unrelated,9,C05_copy_then_substitute_06_07,10679
delay_same_operation_unrelated,9,C06_reverse_then_substitute_05_07,33958
delay_same_operation_unrelated,9,C07_substitute_then_reverse_01_04,6298
delay_same_operation_unrelated,9,K00_shortcut_for_A02_substitute,4390
delay_same_operation_unrelated,9,K01_shortcut_for_A05_substitute,3850
delay_same_operation_unrelated,9,K02_shortcut_for_A03_copy,7184
delay_same_operation_unrelated,9,S00_surface_rotate,22221
delay_same_operation_unrelated,9,S01_surface_rotate,3352
delay_same_operation_unrelated,9,S02_surface_rotate,3632
delay_same_operation_unrelated,9,U00_unrelated_substitute,2463
delay_same_operation_unrelated,9,U01_unrelated_substitute,2011
delay_same_operation_unrelated,9,U02_unrelated_substitute,2807
