condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_same_operation_unrelated_strong,0,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9352213740348816,0.615234375,0.615234375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A01_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8678385615348816,0.26953125,0.26953125,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.6650390625,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9384765625,0.638671875,0.638671875,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A04_reverse,atomic,57856.0,0.7,2,token_accuracy,0.869140625,0.291015625,0.291015625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.669921875,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9407552480697632,0.6484375,0.6484375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,A07_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8671875,0.2578125,0.2578125,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C00_reverse_then_substitute_04_03,composite,57856.0,0.7,2,token_accuracy,0.8675130605697632,0.25390625,0.25390625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C01_substitute_then_reverse_04_06,composite,57856.0,0.7,2,token_accuracy,0.8655599355697632,0.279296875,0.279296875,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C02_copy_then_substitute_06_04,composite,57856.0,0.7,2,token_accuracy,0.875,0.2890625,0.2890625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C03_reverse_then_substitute_07_02,composite,133632.0,0.7,2,token_accuracy,0.7994791865348816,0.0234375,0.0234375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9322916865348816,0.599609375,0.599609375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C05_copy_then_substitute_06_07,composite,57856.0,0.7,2,token_accuracy,0.876953125,0.30859375,0.30859375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C06_reverse_then_substitute_05_07,composite,133632.0,0.7,2,token_accuracy,0.8020833730697632,0.01953125,0.01953125,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9358724355697632,0.619140625,0.619140625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9329427480697632,0.603515625,0.603515625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9342448115348816,0.625,0.625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9381510615348816,0.630859375,0.630859375,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,S00_surface_rotate,surface_control,164608.0,0.7,2,token_accuracy,0.8043619990348816,0.009765625,0.009765625,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2998046875,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.25,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0546875,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0533854179084301,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,0,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0325520858168602,0.0,0.0,token_accuracy,0.7
