condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_component,6,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.94140625,0.65625,0.65625,token_accuracy,0.7
upweight_component,6,A01_reverse,atomic,71424.0,0.7,2,token_accuracy,0.853515625,0.212890625,0.212890625,token_accuracy,0.7
upweight_component,6,A02_substitute,atomic,233216.0,0.7,2,token_accuracy,0.7418619990348816,0.0,0.0,token_accuracy,0.7
upweight_component,6,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9479166865348816,0.697265625,0.697265625,token_accuracy,0.7
upweight_component,6,A04_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8567708730697632,0.220703125,0.220703125,token_accuracy,0.7
upweight_component,6,A05_substitute,atomic,233216.0,0.7,2,token_accuracy,0.7356771230697632,0.0,0.0,token_accuracy,0.7
upweight_component,6,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9436849355697632,0.671875,0.671875,token_accuracy,0.7
upweight_component,6,A07_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8483073115348816,0.220703125,0.220703125,token_accuracy,0.7
upweight_component,6,C00_reverse_then_substitute_04_03,composite,71424.0,0.7,2,token_accuracy,0.8492838740348816,0.193359375,0.193359375,token_accuracy,0.7
upweight_component,6,C01_substitute_then_reverse_04_06,composite,71424.0,0.7,2,token_accuracy,0.8499349355697632,0.2109375,0.2109375,token_accuracy,0.7
upweight_component,6,C02_copy_then_substitute_06_04,composite,71424.0,0.7,2,token_accuracy,0.8499349355697632,0.193359375,0.193359375,token_accuracy,0.7
upweight_component,6,C03_reverse_then_substitute_07_02,composite,176384.0,0.7,2,token_accuracy,0.802734375,0.015625,0.015625,token_accuracy,0.7
upweight_component,6,C04_substitute_then_reverse_03_06,composite,14336.0,0.7,2,token_accuracy,0.9365234375,0.6328125,0.6328125,token_accuracy,0.7
upweight_component,6,C05_copy_then_substitute_06_07,composite,71424.0,0.7,2,token_accuracy,0.8492838740348816,0.19921875,0.19921875,token_accuracy,0.7
upweight_component,6,C06_reverse_then_substitute_05_07,composite,176384.0,0.7,2,token_accuracy,0.8004557490348816,0.04296875,0.04296875,token_accuracy,0.7
upweight_component,6,C07_substitute_then_reverse_01_04,composite,14336.0,0.7,2,token_accuracy,0.9430338740348816,0.669921875,0.669921875,token_accuracy,0.7
upweight_component,6,K00_shortcut_for_A02_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.9361979365348816,0.634765625,0.634765625,token_accuracy,0.7
upweight_component,6,K01_shortcut_for_A05_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.9485677480697632,0.705078125,0.705078125,token_accuracy,0.7
upweight_component,6,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9449869990348816,0.6875,0.6875,token_accuracy,0.7
upweight_component,6,S00_surface_rotate,surface_control,164608.0,0.7,2,token_accuracy,0.7998046875,0.0078125,0.0078125,token_accuracy,0.7
upweight_component,6,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.326171875,0.0,0.0,token_accuracy,0.7
upweight_component,6,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4853515625,0.0,0.0,token_accuracy,0.7
upweight_component,6,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.078125,0.0,0.0,token_accuracy,0.7
upweight_component,6,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0791015625,0.0,0.0,token_accuracy,0.7
upweight_component,6,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.033203125,0.0,0.0,token_accuracy,0.7
