condition,seed,task_name,realized_sample_count
upweight_surface_control,5,A00_copy,2898
upweight_surface_control,5,A01_reverse,7796
upweight_surface_control,5,A02_substitute,2366
upweight_surface_control,5,A03_copy,2608
upweight_surface_control,5,A04_reverse,3120
upweight_surface_control,5,A05_substitute,4670
upweight_surface_control,5,A06_copy,69224
upweight_surface_control,5,A07_reverse,16069
upweight_surface_control,5,C00_reverse_then_substitute_04_03,3983
upweight_surface_control,5,C01_substitute_then_reverse_04_06,8773
upweight_surface_control,5,C02_copy_then_substitute_06_04,5530
upweight_surface_control,5,C03_reverse_then_substitute_07_02,5050
upweight_surface_control,5,C04_substitute_then_reverse_03_06,12692
upweight_surface_control,5,C05_copy_then_substitute_06_07,10465
upweight_surface_control,5,C06_reverse_then_substitute_05_07,33385
upweight_surface_control,5,C07_substitute_then_reverse_01_04,6274
upweight_surface_control,5,K00_shortcut_for_A02_substitute,4242
upweight_surface_control,5,K01_shortcut_for_A05_substitute,3717
upweight_surface_control,5,K02_shortcut_for_A03_copy,6872
upweight_surface_control,5,S00_surface_rotate,22064
upweight_surface_control,5,S01_surface_rotate,3288
upweight_surface_control,5,S02_surface_rotate,7007
upweight_surface_control,5,U00_unrelated_substitute,2398
upweight_surface_control,5,U01_unrelated_substitute,3034
upweight_surface_control,5,U02_unrelated_substitute,2587
