condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_surface_control,6,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9407552480697632,0.654296875,0.654296875,token_accuracy,0.7
upweight_surface_control,6,A01_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8544921875,0.2421875,0.2421875,token_accuracy,0.7
upweight_surface_control,6,A02_substitute,atomic,,0.7,2,token_accuracy,0.4322916865348816,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9430338740348816,0.673828125,0.673828125,token_accuracy,0.7
upweight_surface_control,6,A04_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8518880605697632,0.203125,0.203125,token_accuracy,0.7
upweight_surface_control,6,A05_substitute,atomic,,0.7,2,token_accuracy,0.4306640625,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9420573115348816,0.66015625,0.66015625,token_accuracy,0.7
upweight_surface_control,6,A07_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8460286855697632,0.22265625,0.22265625,token_accuracy,0.7
upweight_surface_control,6,C00_reverse_then_substitute_04_03,composite,66560.0,0.7,2,token_accuracy,0.8486328125,0.2421875,0.2421875,token_accuracy,0.7
upweight_surface_control,6,C01_substitute_then_reverse_04_06,composite,66560.0,0.7,2,token_accuracy,0.8577474355697632,0.271484375,0.271484375,token_accuracy,0.7
upweight_surface_control,6,C02_copy_then_substitute_06_04,composite,66560.0,0.7,2,token_accuracy,0.8489583730697632,0.203125,0.203125,token_accuracy,0.7
upweight_surface_control,6,C03_reverse_then_substitute_07_02,composite,176384.0,0.7,2,token_accuracy,0.7916666865348816,0.0078125,0.0078125,token_accuracy,0.7
upweight_surface_control,6,C04_substitute_then_reverse_03_06,composite,14336.0,0.7,2,token_accuracy,0.9410807490348816,0.66015625,0.66015625,token_accuracy,0.7
upweight_surface_control,6,C05_copy_then_substitute_06_07,composite,66560.0,0.7,2,token_accuracy,0.845703125,0.20703125,0.20703125,token_accuracy,0.7
upweight_surface_control,6,C06_reverse_then_substitute_05_07,composite,176384.0,0.7,2,token_accuracy,0.7845052480697632,0.01953125,0.01953125,token_accuracy,0.7
upweight_surface_control,6,C07_substitute_then_reverse_01_04,composite,14336.0,0.7,2,token_accuracy,0.9381510615348816,0.64453125,0.64453125,token_accuracy,0.7
upweight_surface_control,6,K00_shortcut_for_A02_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.9397786855697632,0.66015625,0.66015625,token_accuracy,0.7
upweight_surface_control,6,K01_shortcut_for_A05_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.9449869990348816,0.681640625,0.681640625,token_accuracy,0.7
upweight_surface_control,6,K02_shortcut_for_A03_copy,shortcut,14336.0,0.7,2,token_accuracy,0.94140625,0.66015625,0.66015625,token_accuracy,0.7
upweight_surface_control,6,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6575521230697632,0.001953125,0.001953125,token_accuracy,0.7
upweight_surface_control,6,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3284505307674408,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,S02_surface_rotate,surface_control,203008.0,0.7,2,token_accuracy,0.654296875,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0485026054084301,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0478515625,0.0,0.0,token_accuracy,0.7
upweight_surface_control,6,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0328776054084301,0.0,0.0,token_accuracy,0.7
