condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched_strong,8,A00_copy,2869
corrupt_different_operation_matched_strong,8,A01_reverse,7811
corrupt_different_operation_matched_strong,8,A02_substitute,2379
corrupt_different_operation_matched_strong,8,A03_copy,2593
corrupt_different_operation_matched_strong,8,A04_reverse,3215
corrupt_different_operation_matched_strong,8,A05_substitute,4739
corrupt_different_operation_matched_strong,8,A06_copy,69984
corrupt_different_operation_matched_strong,8,A07_reverse,16504
corrupt_different_operation_matched_strong,8,C00_reverse_then_substitute_04_03,4180
corrupt_different_operation_matched_strong,8,C01_substitute_then_reverse_04_06,9118
corrupt_different_operation_matched_strong,8,C02_copy_then_substitute_06_04,5604
corrupt_different_operation_matched_strong,8,C03_reverse_then_substitute_07_02,5190
corrupt_different_operation_matched_strong,8,C04_substitute_then_reverse_03_06,12940
corrupt_different_operation_matched_strong,8,C05_copy_then_substitute_06_07,10705
corrupt_different_operation_matched_strong,8,C06_reverse_then_substitute_05_07,33820
corrupt_different_operation_matched_strong,8,C07_substitute_then_reverse_01_04,6206
corrupt_different_operation_matched_strong,8,K00_shortcut_for_A02_substitute,4354
corrupt_different_operation_matched_strong,8,K01_shortcut_for_A05_substitute,3805
corrupt_different_operation_matched_strong,8,K02_shortcut_for_A03_copy,7020
corrupt_different_operation_matched_strong,8,S00_surface_rotate,21936
corrupt_different_operation_matched_strong,8,S01_surface_rotate,3395
corrupt_different_operation_matched_strong,8,S02_surface_rotate,3489
corrupt_different_operation_matched_strong,8,U00_unrelated_substitute,2454
corrupt_different_operation_matched_strong,8,U01_unrelated_substitute,3063
corrupt_different_operation_matched_strong,8,U02_unrelated_substitute,2739
