condition,seed,task_name,realized_sample_count
delay_component,2,A00_copy,2887
delay_component,2,A01_reverse,8156
delay_component,2,A02_substitute,2459
delay_component,2,A03_copy,2709
delay_component,2,A04_reverse,3227
delay_component,2,A05_substitute,4786
delay_component,2,A06_copy,71697
delay_component,2,A07_reverse,10527
delay_component,2,C00_reverse_then_substitute_04_03,4208
delay_component,2,C01_substitute_then_reverse_04_06,9381
delay_component,2,C02_copy_then_substitute_06_04,5696
delay_component,2,C03_reverse_then_substitute_07_02,5386
delay_component,2,C04_substitute_then_reverse_03_06,13182
delay_component,2,C05_copy_then_substitute_06_07,10868
delay_component,2,C06_reverse_then_substitute_05_07,34769
delay_component,2,C07_substitute_then_reverse_01_04,6352
delay_component,2,K00_shortcut_for_A02_substitute,4486
delay_component,2,K01_shortcut_for_A05_substitute,3924
delay_component,2,K02_shortcut_for_A03_copy,7146
delay_component,2,S00_surface_rotate,22812
delay_component,2,S01_surface_rotate,3437
delay_component,2,S02_surface_rotate,3762
delay_component,2,U00_unrelated_substitute,2482
delay_component,2,U01_unrelated_substitute,3063
delay_component,2,U02_unrelated_substitute,2710
