condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_component_strong,0,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9397786855697632,0.642578125,0.642578125,token_accuracy,0.7
delay_component_strong,0,A01_reverse,atomic,143104.0,0.7,2,token_accuracy,0.8587239980697632,0.248046875,0.248046875,token_accuracy,0.7
delay_component_strong,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.6393229365348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9397786855697632,0.646484375,0.646484375,token_accuracy,0.7
delay_component_strong,0,A04_reverse,atomic,143104.0,0.7,2,token_accuracy,0.8681640625,0.314453125,0.314453125,token_accuracy,0.7
delay_component_strong,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.6256510615348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9397786855697632,0.65234375,0.65234375,token_accuracy,0.7
delay_component_strong,0,A07_reverse,atomic,143104.0,0.7,2,token_accuracy,0.8544921875,0.259765625,0.259765625,token_accuracy,0.7
delay_component_strong,0,C00_reverse_then_substitute_04_03,composite,143104.0,0.7,2,token_accuracy,0.8675130605697632,0.279296875,0.279296875,token_accuracy,0.7
delay_component_strong,0,C01_substitute_then_reverse_04_06,composite,143104.0,0.7,2,token_accuracy,0.8606771230697632,0.267578125,0.267578125,token_accuracy,0.7
delay_component_strong,0,C02_copy_then_substitute_06_04,composite,143104.0,0.7,2,token_accuracy,0.8668619990348816,0.287109375,0.287109375,token_accuracy,0.7
delay_component_strong,0,C03_reverse_then_substitute_07_02,composite,176384.0,0.7,2,token_accuracy,0.7903646230697632,0.009765625,0.009765625,token_accuracy,0.7
delay_component_strong,0,C04_substitute_then_reverse_03_06,composite,14336.0,0.7,2,token_accuracy,0.931640625,0.603515625,0.603515625,token_accuracy,0.7
delay_component_strong,0,C05_copy_then_substitute_06_07,composite,143104.0,0.7,2,token_accuracy,0.8665364980697632,0.291015625,0.291015625,token_accuracy,0.7
delay_component_strong,0,C06_reverse_then_substitute_05_07,composite,164608.0,0.7,2,token_accuracy,0.7848307490348816,0.001953125,0.001953125,token_accuracy,0.7
delay_component_strong,0,C07_substitute_then_reverse_01_04,composite,14336.0,0.7,2,token_accuracy,0.9371744990348816,0.62890625,0.62890625,token_accuracy,0.7
delay_component_strong,0,K00_shortcut_for_A02_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.935546875,0.623046875,0.623046875,token_accuracy,0.7
delay_component_strong,0,K01_shortcut_for_A05_substitute,shortcut,14336.0,0.7,2,token_accuracy,0.9358724355697632,0.619140625,0.619140625,token_accuracy,0.7
delay_component_strong,0,K02_shortcut_for_A03_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9417318105697632,0.65234375,0.65234375,token_accuracy,0.7
delay_component_strong,0,S00_surface_rotate,surface_control,233216.0,0.7,2,token_accuracy,0.7643229365348816,0.01171875,0.01171875,token_accuracy,0.7
delay_component_strong,0,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2828776240348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5436198115348816,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1129557341337204,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1214192733168602,0.0,0.0,token_accuracy,0.7
delay_component_strong,0,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0419921875,0.0,0.0,token_accuracy,0.7
