condition,seed,task_name,realized_sample_count
delay_different_operation_matched,6,A00_copy,2936
delay_different_operation_matched,6,A01_reverse,7992
delay_different_operation_matched,6,A02_substitute,2450
delay_different_operation_matched,6,A03_copy,2588
delay_different_operation_matched,6,A04_reverse,3222
delay_different_operation_matched,6,A05_substitute,4764
delay_different_operation_matched,6,A06_copy,70285
delay_different_operation_matched,6,A07_reverse,16302
delay_different_operation_matched,6,C00_reverse_then_substitute_04_03,4231
delay_different_operation_matched,6,C01_substitute_then_reverse_04_06,9236
delay_different_operation_matched,6,C02_copy_then_substitute_06_04,5649
delay_different_operation_matched,6,C03_reverse_then_substitute_07_02,5157
delay_different_operation_matched,6,C04_substitute_then_reverse_03_06,12882
delay_different_operation_matched,6,C05_copy_then_substitute_06_07,10809
delay_different_operation_matched,6,C06_reverse_then_substitute_05_07,33821
delay_different_operation_matched,6,C07_substitute_then_reverse_01_04,6378
delay_different_operation_matched,6,K00_shortcut_for_A02_substitute,4389
delay_different_operation_matched,6,K01_shortcut_for_A05_substitute,3868
delay_different_operation_matched,6,K02_shortcut_for_A03_copy,6989
delay_different_operation_matched,6,S00_surface_rotate,22014
delay_different_operation_matched,6,S01_surface_rotate,3381
delay_different_operation_matched,6,S02_surface_rotate,3634
delay_different_operation_matched,6,U00_unrelated_substitute,2493
delay_different_operation_matched,6,U01_unrelated_substitute,1960
delay_different_operation_matched,6,U02_unrelated_substitute,2682
