condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,0,A00_copy,2959
delay_same_operation_unrelated_strong,0,A01_reverse,3198
delay_same_operation_unrelated_strong,0,A02_substitute,2426
delay_same_operation_unrelated_strong,0,A03_copy,2679
delay_same_operation_unrelated_strong,0,A04_reverse,3231
delay_same_operation_unrelated_strong,0,A05_substitute,4694
delay_same_operation_unrelated_strong,0,A06_copy,71460
delay_same_operation_unrelated_strong,0,A07_reverse,16709
delay_same_operation_unrelated_strong,0,C00_reverse_then_substitute_04_03,4001
delay_same_operation_unrelated_strong,0,C01_substitute_then_reverse_04_06,9237
delay_same_operation_unrelated_strong,0,C02_copy_then_substitute_06_04,5808
delay_same_operation_unrelated_strong,0,C03_reverse_then_substitute_07_02,5273
delay_same_operation_unrelated_strong,0,C04_substitute_then_reverse_03_06,13138
delay_same_operation_unrelated_strong,0,C05_copy_then_substitute_06_07,10920
delay_same_operation_unrelated_strong,0,C06_reverse_then_substitute_05_07,34675
delay_same_operation_unrelated_strong,0,C07_substitute_then_reverse_01_04,6479
delay_same_operation_unrelated_strong,0,K00_shortcut_for_A02_substitute,4431
delay_same_operation_unrelated_strong,0,K01_shortcut_for_A05_substitute,3808
delay_same_operation_unrelated_strong,0,K02_shortcut_for_A03_copy,7037
delay_same_operation_unrelated_strong,0,S00_surface_rotate,22558
delay_same_operation_unrelated_strong,0,S01_surface_rotate,3423
delay_same_operation_unrelated_strong,0,S02_surface_rotate,3674
delay_same_operation_unrelated_strong,0,U00_unrelated_substitute,2489
delay_same_operation_unrelated_strong,0,U01_unrelated_substitute,3040
delay_same_operation_unrelated_strong,0,U02_unrelated_substitute,2765
