condition,seed,task_name,realized_sample_count
upweight_component,9,A00_copy,2737
upweight_component,9,A01_reverse,7358
upweight_component,9,A02_substitute,2121
upweight_component,9,A03_copy,2414
upweight_component,9,A04_reverse,3005
upweight_component,9,A05_substitute,4381
upweight_component,9,A06_copy,65669
upweight_component,9,A07_reverse,30743
upweight_component,9,C00_reverse_then_substitute_04_03,3847
upweight_component,9,C01_substitute_then_reverse_04_06,8358
upweight_component,9,C02_copy_then_substitute_06_04,5352
upweight_component,9,C03_reverse_then_substitute_07_02,4864
upweight_component,9,C04_substitute_then_reverse_03_06,12124
upweight_component,9,C05_copy_then_substitute_06_07,10055
upweight_component,9,C06_reverse_then_substitute_05_07,31654
upweight_component,9,C07_substitute_then_reverse_01_04,5905
upweight_component,9,K00_shortcut_for_A02_substitute,4097
upweight_component,9,K01_shortcut_for_A05_substitute,3574
upweight_component,9,K02_shortcut_for_A03_copy,6722
upweight_component,9,S00_surface_rotate,20759
upweight_component,9,S01_surface_rotate,3123
upweight_component,9,S02_surface_rotate,3371
upweight_component,9,U00_unrelated_substitute,2350
upweight_component,9,U01_unrelated_substitute,2916
upweight_component,9,U02_unrelated_substitute,2613
