condition,seed,task_name,realized_sample_count
upweight_same_operation_unrelated,9,A00_copy,2833
upweight_same_operation_unrelated,9,A01_reverse,15078
upweight_same_operation_unrelated,9,A02_substitute,2314
upweight_same_operation_unrelated,9,A03_copy,2458
upweight_same_operation_unrelated,9,A04_reverse,3182
upweight_same_operation_unrelated,9,A05_substitute,4600
upweight_same_operation_unrelated,9,A06_copy,67885
upweight_same_operation_unrelated,9,A07_reverse,15704
upweight_same_operation_unrelated,9,C00_reverse_then_substitute_04_03,3996
upweight_same_operation_unrelated,9,C01_substitute_then_reverse_04_06,8634
upweight_same_operation_unrelated,9,C02_copy_then_substitute_06_04,5479
upweight_same_operation_unrelated,9,C03_reverse_then_substitute_07_02,5108
upweight_same_operation_unrelated,9,C04_substitute_then_reverse_03_06,12556
upweight_same_operation_unrelated,9,C05_copy_then_substitute_06_07,10261
upweight_same_operation_unrelated,9,C06_reverse_then_substitute_05_07,32753
upweight_same_operation_unrelated,9,C07_substitute_then_reverse_01_04,6095
upweight_same_operation_unrelated,9,K00_shortcut_for_A02_substitute,4286
upweight_same_operation_unrelated,9,K01_shortcut_for_A05_substitute,3735
upweight_same_operation_unrelated,9,K02_shortcut_for_A03_copy,6858
upweight_same_operation_unrelated,9,S00_surface_rotate,21460
upweight_same_operation_unrelated,9,S01_surface_rotate,3214
upweight_same_operation_unrelated,9,S02_surface_rotate,3493
upweight_same_operation_unrelated,9,U00_unrelated_substitute,2414
upweight_same_operation_unrelated,9,U01_unrelated_substitute,3004
upweight_same_operation_unrelated,9,U02_unrelated_substitute,2712
