condition,seed,task_name,realized_sample_count
upweight_surface_control,7,A00_copy,2622
upweight_surface_control,7,A01_reverse,7104
upweight_surface_control,7,A02_substitute,2289
upweight_surface_control,7,A03_copy,2427
upweight_surface_control,7,A04_reverse,2892
upweight_surface_control,7,A05_substitute,4362
upweight_surface_control,7,A06_copy,64029
upweight_surface_control,7,A07_reverse,14920
upweight_surface_control,7,C00_reverse_then_substitute_04_03,3689
upweight_surface_control,7,C01_substitute_then_reverse_04_06,8345
upweight_surface_control,7,C02_copy_then_substitute_06_04,5250
upweight_surface_control,7,C03_reverse_then_substitute_07_02,4741
upweight_surface_control,7,C04_substitute_then_reverse_03_06,11922
upweight_surface_control,7,C05_copy_then_substitute_06_07,9913
upweight_surface_control,7,C06_reverse_then_substitute_05_07,31477
upweight_surface_control,7,C07_substitute_then_reverse_01_04,5788
upweight_surface_control,7,K00_shortcut_for_A02_substitute,4008
upweight_surface_control,7,K01_shortcut_for_A05_substitute,3496
upweight_surface_control,7,K02_shortcut_for_A03_copy,6406
upweight_surface_control,7,S00_surface_rotate,40612
upweight_surface_control,7,S01_surface_rotate,3110
upweight_surface_control,7,S02_surface_rotate,3253
upweight_surface_control,7,U00_unrelated_substitute,2259
upweight_surface_control,7,U01_unrelated_substitute,2671
upweight_surface_control,7,U02_unrelated_substitute,2527
