condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
base,0,A00_copy,2898,0.011586809109518936,17388,0.011586809109518936,0.0114521109717608,atomic,copy,1.0,0.0,0.0114521109717608,0.00013469813775813556,250000
base,0,A01_reverse,8001,0.031989668628454454,48006,0.031989668628454454,0.0315479628573997,atomic,reverse,2.0,0.0249583463503928,0.0315479628573997,0.00044170577105475534,250000
base,0,A02_substitute,2294,0.00917189099283521,13764,0.00917189099283521,0.0095362756947815,atomic,substitute,1.5,0.0206098816944667,0.0095362756947815,-0.00036438470194628987,250000
base,0,A03_copy,2534,0.01013146110542477,15204,0.01013146110542477,0.0104088219420859,atomic,copy,1.0,0.0679819703578995,0.0104088219420859,-0.00027736083666113007,250000
base,0,A04_reverse,3138,0.012546379222108495,18828,0.012546379222108495,0.0127210958869839,atomic,reverse,2.0,0.1001411946438212,0.0127210958869839,-0.00017471666487540484,250000
base,0,A05_substitute,4694,0.01876759211873081,28164,0.01876759211873081,0.018948519685711,atomic,substitute,1.5,0.1352490775505666,0.018948519685711,-0.00018092756698018936,250000
base,0,A06_copy,70120,0.2803544012282497,420720,0.2803544012282497,0.2800372519400079,atomic,copy,1.0,0.1532282552757172,0.2800372519400079,0.00031714928824183586,250000
base,0,A07_reverse,16314,0.06522677840327533,97884,0.06522677840327533,0.065320998729833,atomic,reverse,2.0,0.1985323344506372,0.065320998729833,-9.422032655767576e-05,250000
base,0,C00_reverse_then_substitute_04_03,3958,0.015824910440122825,23748,0.015824910440122825,0.0163049692906072,composite,reverse_then_substitute,3.0,0.0,0.0163049692906072,-0.00048005885048437585,250000
base,0,C01_substitute_then_reverse_04_06,9107,0.03641168756397134,54642,0.03641168756397134,0.0362963425666403,composite,substitute_then_reverse,3.0,0.0,0.0362963425666403,0.00011534499733104053,250000
base,0,C02_copy_then_substitute_06_04,5762,0.02303767911975435,34572,0.02303767911975435,0.0225815364361807,composite,copy_then_substitute,3.0,0.0,0.0225815364361807,0.0004561426835736522,250000
base,0,C03_reverse_then_substitute_07_02,5141,0.020554791453428863,30846,0.020554791453428863,0.0206098816944667,composite,reverse_then_substitute,3.0,0.0,0.0206098816944667,-5.509024103783622e-05,250000
base,0,C04_substitute_then_reverse_03_06,12834,0.05131301177072672,77004,0.05131301177072672,0.0516770010672922,composite,substitute_then_reverse,3.0,0.0,0.0516770010672922,-0.00036398929656548257,250000
base,0,C05_copy_then_substitute_06_07,10803,0.04319264969293756,64818,0.04319264969293756,0.0426733752056038,composite,copy_then_substitute,3.0,0.0,0.0426733752056038,0.0005192744873337637,250000
base,0,C06_reverse_then_substitute_05_07,33995,0.1359191082395087,203970,0.1359191082395087,0.1352490775505666,composite,reverse_then_substitute,3.0,0.0,0.1352490775505666,0.0006700306889421137,250000
base,0,C07_substitute_then_reverse_01_04,6290,0.02514873336745138,37740,0.02514873336745138,0.0249583463503928,composite,substitute_then_reverse,3.0,0.0,0.0249583463503928,0.00019038701705858044,250000
