condition,task_name,n,acquisition_rate,mean_residual_log_time,median_residual_log_time,mean_residual_time,positive_residual_rate,mean_observed_time,mean_predicted_time
base,C00_reverse_then_substitute_04_03,5,1.0,-2.113838722819125,-2.058564871567473,-562518.1260569753,0.0,79308.8,641826.9260569753
base,C01_substitute_then_reverse_04_06,5,1.0,-2.085886726270027,-2.058564871567473,-560521.3260569753,0.0,81305.6,641826.9260569753
base,C02_copy_then_substitute_06_04,5,1.0,-2.085886726270027,-2.058564871567473,-560521.3260569753,0.0,81305.6,641826.9260569753
base,C03_reverse_then_substitute_07_02,5,1.0,-1.2771135004930865,-1.2215948675244874,-458479.7260569753,0.0,183347.2,641826.9260569753
base,C04_substitute_then_reverse_03_06,5,1.0,-3.7324884100484055,-3.732488410048406,-626466.9260569753,0.0,15360.0,641826.9260569753
base,C05_copy_then_substitute_06_07,5,1.0,-2.085886726270027,-2.058564871567473,-560521.3260569753,0.0,81305.6,641826.9260569753
base,C06_reverse_then_substitute_05_07,5,1.0,-1.2771135004930865,-1.2215948675244874,-458479.7260569753,0.0,183347.2,641826.9260569753
base,C07_substitute_then_reverse_01_04,5,1.0,-3.7324884100484055,-3.732488410048406,-626466.9260569753,0.0,15360.0,641826.9260569753
batch_large,C00_reverse_then_substitute_04_03,5,1.0,-2.0017080868855532,-2.0434709120467076,-723195.447846287,0.0,114483.2,837678.647846287
batch_large,C01_substitute_then_reverse_04_06,5,1.0,-1.9322931189285264,-1.975107778010777,-712443.447846287,0.0,125235.2,837678.647846287
batch_large,C02_copy_then_substitute_06_04,5,1.0,-1.97437174156441,-1.975107778010777,-720225.8478462871,0.0,117452.8,837678.647846287
batch_large,C03_reverse_then_substitute_07_02,5,0.4,-1.2497283379422925,-1.2076999159425057,-597243.447846287,0.0,240435.2,837678.647846287
batch_large,C04_substitute_then_reverse_03_06,5,1.0,-3.5848702084338364,-3.571382544703198,-814433.8478462871,0.0,23244.8,837678.647846287
batch_large,C05_copy_then_substitute_06_07,5,1.0,-2.0017080868855532,-2.0434709120467076,-723195.447846287,0.0,114483.2,837678.647846287
batch_large,C06_reverse_then_substitute_05_07,5,0.4,-1.2497283379422925,-1.2076999159425057,-597243.447846287,0.0,240435.2,837678.647846287
batch_large,C07_substitute_then_reverse_01_04,5,1.0,-3.5848702084338364,-3.571382544703198,-814433.8478462871,0.0,23244.8,837678.647846287
batch_small,C00_reverse_then_substitute_04_03,5,1.0,-2.255555107042603,-2.2145275291943545,-441215.3722634635,0.0,52249.6,493464.9722634635
batch_small,C01_substitute_then_reverse_04_06,5,1.0,-2.255555107042603,-2.2145275291943545,-441215.3722634635,0.0,52249.6,493464.9722634635
batch_small,C02_copy_then_substitute_06_04,5,1.0,-2.255555107042603,-2.2145275291943545,-441215.3722634635,0.0,52249.6,493464.9722634635
batch_small,C03_reverse_then_substitute_07_02,5,1.0,-1.418998118692952,-1.4470278560724523,-373400.9722634635,0.0,120064.0,493464.9722634635
batch_small,C04_substitute_then_reverse_03_06,5,1.0,-3.8144357556802873,-3.8144357556802877,-482584.9722634635,0.0,10880.0,493464.9722634635
