condition,model,features,complexity,n_folds,n_errors,cv_rmse_log_time,cv_mae_log_time,cv_se_log_time
base,exposure_only,,0,8,40,1.2725839276238784,1.1181547536038419,0.0972967704209781
base,frequency_only,log_frequency,1,8,40,1.531629970739088,1.3419516564807075,0.11821927897516459
base,learnability_only,reference_learnability,2,8,40,1.0507941412114181,0.9487655471805386,0.07232623095595207
base,utility_only,formal_utility,3,8,40,1.456829002473931,1.2719627020215856,0.11373176124448581
base,freq_learn,"log_frequency,reference_learnability",4,8,40,1.133239070334278,1.0512531485576997,0.0677661151577988
base,freq_utility,"log_frequency,formal_utility",5,8,40,1.52990074793167,1.3612344064626565,0.1118191292730732
base,learn_utility,"reference_learnability,formal_utility",6,8,40,1.2285599037212873,1.1286822766189009,0.07769693844049781
base,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,1.3255086986837794,1.2516580250072946,0.06985800593240134
batch_large,exposure_only,,0,8,40,1.1167202472796738,1.023605533156387,0.07148530836616192
batch_large,frequency_only,log_frequency,1,8,40,1.4089414135969327,1.2478028711898523,0.10477128956885136
batch_large,learnability_only,reference_learnability,2,8,40,0.8386856824792511,0.7583776395292785,0.05734668073413438
batch_large,utility_only,formal_utility,3,8,40,1.280350528014622,1.1646917115958837,0.08515305850344766
batch_large,freq_learn,"log_frequency,reference_learnability",4,8,40,0.9079396547700982,0.8450735728875516,0.0531579825182743
batch_large,freq_utility,"log_frequency,formal_utility",5,8,40,1.4050326351907672,1.2366445733267182,0.10679802471196123
batch_large,learn_utility,"reference_learnability,formal_utility",6,8,40,0.9817737527430525,0.9028310949590257,0.06176375909209399
batch_large,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,1.0629666966417193,1.0053066216138582,0.05529797944765542
batch_small,exposure_only,,0,8,40,1.3974407739655503,1.187717531118049,0.11790563186743251
batch_small,frequency_only,log_frequency,1,8,40,1.6281613525152874,1.4055062162726837,0.13160368495379124
batch_small,learnability_only,reference_learnability,2,8,40,1.2173527971433116,1.1037537837941147,0.0822247416555912
batch_small,utility_only,formal_utility,3,8,40,1.600309603759942,1.352567403643134,0.13695893512275242
batch_small,freq_learn,"log_frequency,reference_learnability",4,8,40,1.312673928620933,1.2215035386256061,0.0769685163750766
batch_small,freq_utility,"log_frequency,formal_utility",5,8,40,1.6455123921620185,1.4714939420741469,0.11793268518880788
batch_small,learn_utility,"reference_learnability,formal_utility",6,8,40,1.4214196461629716,1.3108595497875768,0.08800947665010334
batch_small,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,1.5353571593136035,1.449278978623165,0.08116334412878463
lr_high,exposure_only,,0,8,40,1.3945594363858451,1.1666589612582432,0.12233863152035379
lr_high,frequency_only,log_frequency,1,8,40,1.6014458036920929,1.3763930660983221,0.1310872472977026
lr_high,learnability_only,reference_learnability,2,8,40,1.239555331507833,1.1253732406558408,0.08321003531152495
lr_high,utility_only,formal_utility,3,8,40,1.5950122350786375,1.3235063875887154,0.14254058100193687
lr_high,freq_learn,"log_frequency,reference_learnability",4,8,40,1.3376790924635096,1.2471376893752637,0.07746511839559964
lr_high,freq_utility,"log_frequency,formal_utility",5,8,40,1.598435032676882,1.4199143080752326,0.11754299937840292
lr_high,learn_utility,"reference_learnability,formal_utility",6,8,40,1.4567036178986004,1.3424446264883536,0.0905577950051247
lr_high,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,1.5696422406705284,1.4922606675101537,0.07794390880945161
lr_low,exposure_only,,0,8,40,1.195624123183144,1.1255510873267565,0.06457986384494188
lr_low,frequency_only,log_frequency,1,8,40,1.5932922391456565,1.4066995066376342,0.119805040062126
lr_low,learnability_only,reference_learnability,2,8,40,0.7843975076084918,0.6972338262334778,0.05754472987035619
lr_low,utility_only,formal_utility,3,8,40,1.368488078993208,1.2801823441363385,0.07744192002482253
lr_low,freq_learn,"log_frequency,reference_learnability",4,8,40,0.8422711722804419,0.7718874072017552,0.05397306029293849
lr_low,freq_utility,"log_frequency,formal_utility",5,8,40,1.5789107953254087,1.39271784193212,0.11910955013047193
lr_low,learn_utility,"reference_learnability,formal_utility",6,8,40,0.917516738823741,0.8324710926768251,0.061774786550120676
lr_low,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,0.9828589100108961,0.9219501633446257,0.05454227560451232
wd_zero,exposure_only,,0,8,40,1.2734891403839774,1.1211496103769598,0.09671503765391279
wd_zero,frequency_only,log_frequency,1,8,40,1.535810111557347,1.3470070974574895,0.11813557814917357
wd_zero,learnability_only,reference_learnability,2,8,40,1.0481011841555417,0.946534085271157,0.07207355887157176
wd_zero,utility_only,formal_utility,3,8,40,1.4585911289318017,1.2763699889957336,0.11304273444140138
wd_zero,freq_learn,"log_frequency,reference_learnability",4,8,40,1.1304460862501682,1.04871415616469,0.06757843924448566
wd_zero,freq_utility,"log_frequency,formal_utility",5,8,40,1.5394875827505643,1.3703795624265478,0.11232757411168172
wd_zero,learn_utility,"reference_learnability,formal_utility",6,8,40,1.2237310038107776,1.1248055017207927,0.07718279218781153
wd_zero,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,40,1.3213381416097516,1.2461748327720317,0.07034398460574369
