condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
batch_large,0,A00_copy,atomic,22016.0,0.7,2,token_accuracy,0.9544271230697632,0.736328125,0.736328125,token_accuracy,0.7
batch_large,0,A01_reverse,atomic,94208.0,0.7,2,token_accuracy,0.8333333730697632,0.1640625,0.1640625,token_accuracy,0.7
batch_large,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.2408854216337204,0.0,0.0,token_accuracy,0.7
batch_large,0,A03_copy,atomic,23552.0,0.7,2,token_accuracy,0.9456380605697632,0.6953125,0.6953125,token_accuracy,0.7
batch_large,0,A04_reverse,atomic,94208.0,0.7,2,token_accuracy,0.8258463740348816,0.150390625,0.150390625,token_accuracy,0.7
batch_large,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.2438151091337204,0.0,0.0,token_accuracy,0.7
batch_large,0,A06_copy,atomic,23552.0,0.7,2,token_accuracy,0.9446614980697632,0.68359375,0.68359375,token_accuracy,0.7
batch_large,0,A07_reverse,atomic,94208.0,0.7,2,token_accuracy,0.8294271230697632,0.14453125,0.14453125,token_accuracy,0.7
batch_large,0,C00_reverse_then_substitute_04_03,composite,94208.0,0.7,2,token_accuracy,0.8310546875,0.154296875,0.154296875,token_accuracy,0.7
batch_large,0,C01_substitute_then_reverse_04_06,composite,94208.0,0.7,2,token_accuracy,0.8333333730697632,0.140625,0.140625,token_accuracy,0.7
batch_large,0,C02_copy_then_substitute_06_04,composite,94208.0,0.7,2,token_accuracy,0.8277994990348816,0.158203125,0.158203125,token_accuracy,0.7
batch_large,0,C03_reverse_then_substitute_07_02,composite,217600.0,0.7,2,token_accuracy,0.7662760615348816,0.025390625,0.025390625,token_accuracy,0.7
batch_large,0,C04_substitute_then_reverse_03_06,composite,23552.0,0.7,2,token_accuracy,0.94921875,0.703125,0.703125,token_accuracy,0.7
batch_large,0,C05_copy_then_substitute_06_07,composite,94208.0,0.7,2,token_accuracy,0.8287760615348816,0.16015625,0.16015625,token_accuracy,0.7
batch_large,0,C06_reverse_then_substitute_05_07,composite,217600.0,0.7,2,token_accuracy,0.7757161855697632,0.02734375,0.02734375,token_accuracy,0.7
batch_large,0,C07_substitute_then_reverse_01_04,composite,23552.0,0.7,2,token_accuracy,0.9498698115348816,0.708984375,0.708984375,token_accuracy,0.7
batch_large,0,K00_shortcut_for_A02_substitute,shortcut,23552.0,0.7,2,token_accuracy,0.9456380605697632,0.6796875,0.6796875,token_accuracy,0.7
batch_large,0,K01_shortcut_for_A05_substitute,shortcut,23552.0,0.7,2,token_accuracy,0.9443359375,0.677734375,0.677734375,token_accuracy,0.7
batch_large,0,K02_shortcut_for_A03_copy,shortcut,23552.0,0.7,2,token_accuracy,0.94921875,0.7109375,0.7109375,token_accuracy,0.7
batch_large,0,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6539713740348816,0.001953125,0.001953125,token_accuracy,0.7
batch_large,0,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1015625,0.0,0.0,token_accuracy,0.7
batch_large,0,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1110026091337204,0.0,0.0,token_accuracy,0.7
batch_large,0,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.033203125,0.0,0.0,token_accuracy,0.7
batch_large,0,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0374348983168602,0.0,0.0,token_accuracy,0.7
batch_large,0,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0201822929084301,0.0,0.0,token_accuracy,0.7
