condition,seed,task_name,realized_sample_count
batch_large,1,A00_copy,2814
batch_large,1,A01_reverse,7965
batch_large,1,A02_substitute,2417
batch_large,1,A03_copy,2615
batch_large,1,A04_reverse,3173
batch_large,1,A05_substitute,4678
batch_large,1,A06_copy,70314
batch_large,1,A07_reverse,16283
batch_large,1,C00_reverse_then_substitute_04_03,4152
batch_large,1,C01_substitute_then_reverse_04_06,9019
batch_large,1,C02_copy_then_substitute_06_04,5624
batch_large,1,C03_reverse_then_substitute_07_02,5063
batch_large,1,C04_substitute_then_reverse_03_06,12982
batch_large,1,C05_copy_then_substitute_06_07,10633
batch_large,1,C06_reverse_then_substitute_05_07,33812
batch_large,1,C07_substitute_then_reverse_01_04,6198
batch_large,1,K00_shortcut_for_A02_substitute,4400
batch_large,1,K01_shortcut_for_A05_substitute,3865
batch_large,1,K02_shortcut_for_A03_copy,6967
batch_large,1,S00_surface_rotate,22063
batch_large,1,S01_surface_rotate,3388
batch_large,1,S02_surface_rotate,3614
batch_large,1,U00_unrelated_substitute,2594
batch_large,1,U01_unrelated_substitute,2987
batch_large,1,U02_unrelated_substitute,2748
