condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
wd_zero,4,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9287109375,0.61328125,0.61328125,token_accuracy,0.7
wd_zero,4,A01_reverse,atomic,81920.0,0.7,2,token_accuracy,0.8382161855697632,0.146484375,0.146484375,token_accuracy,0.7
wd_zero,4,A02_substitute,atomic,,0.7,2,token_accuracy,0.4401041865348816,0.0,0.0,token_accuracy,0.7
wd_zero,4,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9427083730697632,0.66796875,0.66796875,token_accuracy,0.7
wd_zero,4,A04_reverse,atomic,81920.0,0.7,2,token_accuracy,0.8427734375,0.19140625,0.19140625,token_accuracy,0.7
wd_zero,4,A05_substitute,atomic,,0.7,2,token_accuracy,0.4326171875,0.0,0.0,token_accuracy,0.7
wd_zero,4,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.935546875,0.646484375,0.646484375,token_accuracy,0.7
wd_zero,4,A07_reverse,atomic,81920.0,0.7,2,token_accuracy,0.8362630605697632,0.138671875,0.138671875,token_accuracy,0.7
wd_zero,4,C00_reverse_then_substitute_04_03,composite,81920.0,0.7,2,token_accuracy,0.8388671875,0.15625,0.15625,token_accuracy,0.7
wd_zero,4,C01_substitute_then_reverse_04_06,composite,81920.0,0.7,2,token_accuracy,0.8427734375,0.162109375,0.162109375,token_accuracy,0.7
wd_zero,4,C02_copy_then_substitute_06_04,composite,81920.0,0.7,2,token_accuracy,0.8391927480697632,0.15234375,0.15234375,token_accuracy,0.7
wd_zero,4,C03_reverse_then_substitute_07_02,composite,217600.0,0.7,2,token_accuracy,0.7848307490348816,0.056640625,0.056640625,token_accuracy,0.7
wd_zero,4,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9375,0.669921875,0.669921875,token_accuracy,0.7
wd_zero,4,C05_copy_then_substitute_06_07,composite,81920.0,0.7,2,token_accuracy,0.8372396230697632,0.146484375,0.146484375,token_accuracy,0.7
wd_zero,4,C06_reverse_then_substitute_05_07,composite,217600.0,0.7,2,token_accuracy,0.7828776240348816,0.05078125,0.05078125,token_accuracy,0.7
wd_zero,4,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9322916865348816,0.623046875,0.623046875,token_accuracy,0.7
wd_zero,4,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9339193105697632,0.650390625,0.650390625,token_accuracy,0.7
wd_zero,4,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9384765625,0.666015625,0.666015625,token_accuracy,0.7
wd_zero,4,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9313151240348816,0.61328125,0.61328125,token_accuracy,0.7
wd_zero,4,S00_surface_rotate,surface_control,203008.0,0.7,2,token_accuracy,0.7750651240348816,0.013671875,0.013671875,token_accuracy,0.7
wd_zero,4,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1031901091337204,0.0,0.0,token_accuracy,0.7
wd_zero,4,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4104817807674408,0.0,0.0,token_accuracy,0.7
wd_zero,4,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1057942733168602,0.0,0.0,token_accuracy,0.7
wd_zero,4,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1070963591337204,0.0,0.0,token_accuracy,0.7
wd_zero,4,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0400390625,0.0,0.0,token_accuracy,0.7
