condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
baseline,0,A00_not_bit_26,atomic,96256.0,0.9,2,balanced_accuracy,0.9874059855937958,0.9873046875,0.9874059855937958
baseline,0,A01_xor2_40_1,atomic,,0.9,2,balanced_accuracy,0.5548568964004517,0.55517578125,0.5548568964004517
baseline,0,A02_bit_1,atomic,,0.9,2,balanced_accuracy,0.7325711846351624,0.732421875,0.7325711846351624
baseline,0,A03_and_bits_23_25,atomic,,0.9,2,balanced_accuracy,0.6498021334409714,0.755859375,0.6498021334409714
baseline,0,A04_not_bit_0,atomic,102400.0,0.9,2,balanced_accuracy,0.9750908017158508,0.9755859375,0.9750908017158508
baseline,0,A05_and_bits_5_25,atomic,106496.0,0.9,2,balanced_accuracy,0.9408355951309204,0.95751953125,0.9408355951309204
baseline,0,A06_and_bits_18_35,atomic,94208.0,0.9,2,balanced_accuracy,0.9782378673553467,0.9873046875,0.9782378673553467
baseline,0,A07_and_bits_46_18,atomic,,0.9,2,balanced_accuracy,0.8297072649002075,0.89111328125,0.8297072649002075
baseline,0,A08_not_bit_40,atomic,,0.9,2,balanced_accuracy,0.7267903387546539,0.7265625,0.7267903387546539
baseline,0,A09_xor2_42_32,atomic,,0.9,2,balanced_accuracy,0.8337202966213226,0.83203125,0.8337202966213226
baseline,0,A10_xor2_25_39,atomic,,0.9,2,balanced_accuracy,0.5638205409049988,0.5634765625,0.5638205409049988
baseline,0,A11_xor2_14_34,atomic,,0.9,2,balanced_accuracy,0.5418167412281036,0.54248046875,0.5418167412281036
baseline,0,C00_or_04_01,composite,,0.9,2,balanced_accuracy,0.5951688885688782,0.75732421875,0.5951688885688782
baseline,0,C01_or_09_02,composite,,0.9,2,balanced_accuracy,0.640715554356575,0.78564453125,0.640715554356575
baseline,0,C02_and_05_09,composite,,0.9,2,balanced_accuracy,0.8189087510108948,0.9462890625,0.8189087510108948
baseline,0,C03_and_04_05,composite,104448.0,0.9,2,balanced_accuracy,0.9770350158214569,0.990234375,0.9770350158214569
baseline,0,C04_or_09_04,composite,,0.9,2,balanced_accuracy,0.6593539416790009,0.82763671875,0.6593539416790009
baseline,0,C05_or_04_07,composite,,0.9,2,balanced_accuracy,0.7906732857227325,0.8271484375,0.7906732857227325
baseline,0,C06_and_05_09,composite,,0.9,2,balanced_accuracy,0.7828927636146545,0.94189453125,0.7828927636146545
baseline,0,C07_and_09_00,composite,116224.0,0.9,2,balanced_accuracy,0.880215048789978,0.904296875,0.880215048789978
baseline,0,C08_and_10_09,composite,,0.9,2,balanced_accuracy,0.5635204613208771,0.75634765625,0.5635204613208771
baseline,0,C09_and_08_07,composite,,0.9,2,balanced_accuracy,0.6743986159563065,0.88232421875,0.6743986159563065
baseline,0,K00_shortcut_for_01_bit42,shortcut,62464.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
baseline,0,K01_shortcut_for_01_bit38,shortcut,,0.9,2,balanced_accuracy,0.787109375,0.787109375,0.787109375
baseline,0,K02_shortcut_for_04_bit7,shortcut,,0.9,2,balanced_accuracy,0.5840735733509064,0.58154296875,0.5840735733509064
baseline,0,K03_shortcut_for_05_bit44,shortcut,,0.9,2,balanced_accuracy,0.8362859189510345,0.83642578125,0.8362859189510345
baseline,0,S00_surface_xor_23_1,surface_control,,0.9,2,balanced_accuracy,0.503192126750946,0.498046875,0.503192126750946
baseline,0,S01_surface_xor_33_4,surface_control,,0.9,2,balanced_accuracy,0.5121001303195953,0.51171875,0.5121001303195953
baseline,0,S02_surface_xor_44_42,surface_control,,0.9,2,balanced_accuracy,0.6050085425376892,0.6044921875,0.6050085425376892
baseline,0,S03_surface_xor_29_3,surface_control,,0.9,2,balanced_accuracy,0.49687764048576355,0.49658203125,0.49687764048576355
baseline,0,U00_xor2_20_41,unrelated,,0.9,2,balanced_accuracy,0.5063467174768448,0.5048828125,0.5063467174768448
baseline,0,U01_or_bits_13_12,unrelated,,0.9,2,balanced_accuracy,0.9106375277042389,0.9423828125,0.9106375277042389
baseline,0,U02_xor2_6_10,unrelated,,0.9,2,balanced_accuracy,0.5168651044368744,0.5166015625,0.5168651044368744
baseline,0,U03_or_bits_27_41,unrelated,,0.9,2,balanced_accuracy,0.8021793067455292,0.8740234375,0.8021793067455292
baseline,1,A00_not_bit_26,atomic,96256.0,0.9,2,balanced_accuracy,0.9847670495510101,0.98486328125,0.9847670495510101
baseline,1,A01_xor2_40_1,atomic,,0.9,2,balanced_accuracy,0.5265290290117264,0.52734375,0.5265290290117264
baseline,1,A02_bit_1,atomic,,0.9,2,balanced_accuracy,0.7341969907283783,0.73388671875,0.7341969907283783
baseline,1,A03_and_bits_23_25,atomic,,0.9,2,balanced_accuracy,0.5160968843847513,0.7705078125,0.5160968843847513
baseline,1,A04_not_bit_0,atomic,96256.0,0.9,2,balanced_accuracy,0.9687228202819824,0.96875,0.9687228202819824
baseline,1,A05_and_bits_5_25,atomic,108032.0,0.9,2,balanced_accuracy,0.8713163137435913,0.93603515625,0.8713163137435913
baseline,1,A06_and_bits_18_35,atomic,86016.0,0.9,2,balanced_accuracy,0.9776025414466858,0.98779296875,0.9776025414466858
baseline,1,A07_and_bits_46_18,atomic,,0.9,2,balanced_accuracy,0.7793106138706207,0.880859375,0.7793106138706207
baseline,1,A08_not_bit_40,atomic,,0.9,2,balanced_accuracy,0.7200949192047119,0.72021484375,0.7200949192047119
baseline,1,A09_xor2_42_32,atomic,,0.9,2,balanced_accuracy,0.7973999381065369,0.7958984375,0.7973999381065369
baseline,1,A10_xor2_25_39,atomic,,0.9,2,balanced_accuracy,0.5639198124408722,0.56591796875,0.5639198124408722
baseline,1,A11_xor2_14_34,atomic,,0.9,2,balanced_accuracy,0.5487063676118851,0.53515625,0.5487063676118851
