condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A00_not_bit_1,A00_not_bit_1,1.0
baseline,0,120320,A00_not_bit_1,A01_xor2_39_25,0.0665140375494957
baseline,0,120320,A00_not_bit_1,A02_eq2_5_15,0.09541179239749908
baseline,0,120320,A00_not_bit_1,A03_xor2_6_45,0.08792168647050858
baseline,0,120320,A00_not_bit_1,A04_eq2_24_18,0.08465289324522018
baseline,0,120320,A00_not_bit_1,A05_not_bit_2,0.06230253726243973
baseline,0,120320,A00_not_bit_1,A06_not_bit_13,0.022456664592027664
baseline,0,120320,A00_not_bit_1,A07_and_bits_46_35,0.11186010390520096
baseline,0,120320,A00_not_bit_1,A08_and_bits_44_34,0.15312768518924713
baseline,0,120320,A00_not_bit_1,A09_xor2_46_15,0.08406411856412888
baseline,0,120320,A00_not_bit_1,A10_bit_24,0.029410362243652344
baseline,0,120320,A00_not_bit_1,A11_xor2_37_21,0.08084522932767868
baseline,0,120320,A00_not_bit_1,C00_or_02_00,0.9433372616767883
baseline,0,120320,A00_not_bit_1,C01_or_07_09,0.1547940969467163
baseline,0,120320,A00_not_bit_1,C02_and_07_08,0.09650470316410065
baseline,0,120320,A00_not_bit_1,C03_and_00_05,0.6787555813789368
baseline,0,120320,A00_not_bit_1,C04_or_07_00,0.9397962689399719
baseline,0,120320,A00_not_bit_1,C05_and_11_09,0.0714849978685379
baseline,0,120320,A00_not_bit_1,C06_or_02_07,0.1676783412694931
baseline,0,120320,A00_not_bit_1,C07_or_09_00,0.8698462843894958
baseline,0,120320,A00_not_bit_1,C08_or_04_03,0.1104886531829834
baseline,0,120320,A00_not_bit_1,C09_or_00_05,0.8149884939193726
baseline,0,120320,A00_not_bit_1,K00_shortcut_for_05_bit0,0.0774490237236023
baseline,0,120320,A00_not_bit_1,K01_shortcut_for_07_bit36,0.08209891617298126
baseline,0,120320,A00_not_bit_1,K02_shortcut_for_07_bit18,0.08993452042341232
baseline,0,120320,A00_not_bit_1,K03_shortcut_for_09_bit15,0.045857589691877365
baseline,0,120320,A00_not_bit_1,S00_surface_xor_12_29,0.1045331135392189
baseline,0,120320,A00_not_bit_1,S01_surface_xor_41_9,0.0785541832447052
baseline,0,120320,A00_not_bit_1,S02_surface_xor_7_46,0.08494579046964645
baseline,0,120320,A00_not_bit_1,S03_surface_xor_42_12,0.06806619465351105
baseline,0,120320,A00_not_bit_1,U00_or_bits_6_36,0.11936277151107788
baseline,0,120320,A00_not_bit_1,U01_eq2_22_31,0.07507749646902084
baseline,0,120320,A00_not_bit_1,U02_eq2_21_40,0.08222369104623795
baseline,0,120320,A00_not_bit_1,U03_and_bits_13_21,0.04377342760562897
baseline,0,120320,A01_xor2_39_25,A00_not_bit_1,0.0665140375494957
baseline,0,120320,A01_xor2_39_25,A01_xor2_39_25,1.0
baseline,0,120320,A01_xor2_39_25,A02_eq2_5_15,0.6570845246315002
baseline,0,120320,A01_xor2_39_25,A03_xor2_6_45,0.7192168235778809
baseline,0,120320,A01_xor2_39_25,A04_eq2_24_18,0.8005958199501038
baseline,0,120320,A01_xor2_39_25,A05_not_bit_2,0.15793989598751068
baseline,0,120320,A01_xor2_39_25,A06_not_bit_13,0.08183200657367706
baseline,0,120320,A01_xor2_39_25,A07_and_bits_46_35,0.35977450013160706
baseline,0,120320,A01_xor2_39_25,A08_and_bits_44_34,0.502936065196991
baseline,0,120320,A01_xor2_39_25,A09_xor2_46_15,0.7316417098045349
