condition,model,term,coef_standardized
base,learnability_only,reference_learnability,-1.0453126980247893
base,learnability_only,intercept,11.137571828776357
batch_large,learnability_only,reference_learnability,-1.016806121551965
batch_large,learnability_only,intercept,11.408915943046246
batch_small,learnability_only,reference_learnability,-0.9549302200877962
batch_small,learnability_only,intercept,10.816271165080929
lr_high,learnability_only,reference_learnability,-0.979054264086418
lr_high,learnability_only,intercept,10.819965531436052
lr_low,learnability_only,reference_learnability,-1.020990385949038
lr_low,learnability_only,intercept,11.383290288550967
wd_zero,learnability_only,reference_learnability,-1.0272462561410913
wd_zero,learnability_only,intercept,11.12192583114908
