condition,seed,task_name,realized_sample_count
base,5,A00_copy,3642
base,5,A01_reverse,70008
base,5,A02_substitute,2758
base,5,A03_copy,3385
base,5,A04_reverse,4891
base,5,A05_substitute,3232
base,5,A06_copy,16415
base,5,A07_reverse,8915
base,5,C00_reverse_then_substitute_02_05,3770
base,5,C01_substitute_then_reverse_01_03,33535
base,5,C02_copy_then_substitute_04_07,4103
base,5,C03_reverse_then_substitute_06_01,22141
base,5,C04_substitute_then_reverse_03_07,5590
base,5,C05_copy_then_substitute_07_06,2366
base,5,C06_reverse_then_substitute_01_05,12978
base,5,C07_substitute_then_reverse_07_03,6999
base,5,K00_shortcut_for_A07_reverse,2480
base,5,K01_shortcut_for_A03_copy,5197
base,5,K02_shortcut_for_A00_copy,2649
base,5,S00_surface_rotate,6214
base,5,S01_surface_rotate,2916
base,5,S02_surface_rotate,4472
base,5,U00_unrelated_substitute,10707
base,5,U01_unrelated_substitute,2949
base,5,U02_unrelated_substitute,7800
