condition,seed,task_name,realized_sample_count
batch_large,3,A00_copy,3558
batch_large,3,A01_reverse,70326
batch_large,3,A02_substitute,2787
batch_large,3,A03_copy,3347
batch_large,3,A04_reverse,4727
batch_large,3,A05_substitute,3056
batch_large,3,A06_copy,16445
batch_large,3,A07_reverse,9045
batch_large,3,C00_reverse_then_substitute_02_05,3803
batch_large,3,C01_substitute_then_reverse_01_03,33801
batch_large,3,C02_copy_then_substitute_04_07,4114
batch_large,3,C03_reverse_then_substitute_06_01,22142
batch_large,3,C04_substitute_then_reverse_03_07,5629
batch_large,3,C05_copy_then_substitute_07_06,2314
batch_large,3,C06_reverse_then_substitute_01_05,12942
batch_large,3,C07_substitute_then_reverse_07_03,6956
batch_large,3,K00_shortcut_for_A07_reverse,2443
batch_large,3,K01_shortcut_for_A03_copy,5231
batch_large,3,K02_shortcut_for_A00_copy,2583
batch_large,3,S00_surface_rotate,6193
batch_large,3,S01_surface_rotate,2846
batch_large,3,S02_surface_rotate,4402
batch_large,3,U00_unrelated_substitute,10717
batch_large,3,U01_unrelated_substitute,3040
batch_large,3,U02_unrelated_substitute,7921
