condition,seed,task_name,realized_sample_count
batch_small,6,A00_copy,3639
batch_small,6,A01_reverse,69835
batch_small,6,A02_substitute,2690
batch_small,6,A03_copy,3290
batch_small,6,A04_reverse,4730
batch_small,6,A05_substitute,3239
batch_small,6,A06_copy,16171
batch_small,6,A07_reverse,9089
batch_small,6,C00_reverse_then_substitute_02_05,3873
batch_small,6,C01_substitute_then_reverse_01_03,33979
batch_small,6,C02_copy_then_substitute_04_07,4158
batch_small,6,C03_reverse_then_substitute_06_01,21972
batch_small,6,C04_substitute_then_reverse_03_07,5760
batch_small,6,C05_copy_then_substitute_07_06,2428
batch_small,6,C06_reverse_then_substitute_01_05,13007
batch_small,6,C07_substitute_then_reverse_07_03,6838
batch_small,6,K00_shortcut_for_A07_reverse,2523
batch_small,6,K01_shortcut_for_A03_copy,5186
batch_small,6,K02_shortcut_for_A00_copy,2653
batch_small,6,S00_surface_rotate,6199
batch_small,6,S01_surface_rotate,2853
batch_small,6,S02_surface_rotate,4446
batch_small,6,U00_unrelated_substitute,10609
batch_small,6,U01_unrelated_substitute,3082
batch_small,6,U02_unrelated_substitute,7863
