condition,seed,task_name,realized_sample_count
wd_zero,1,A00_copy,3718
wd_zero,1,A01_reverse,70080
wd_zero,1,A02_substitute,2699
wd_zero,1,A03_copy,3366
wd_zero,1,A04_reverse,4725
wd_zero,1,A05_substitute,3068
wd_zero,1,A06_copy,16328
wd_zero,1,A07_reverse,8981
wd_zero,1,C00_reverse_then_substitute_02_05,3803
wd_zero,1,C01_substitute_then_reverse_01_03,33631
wd_zero,1,C02_copy_then_substitute_04_07,4024
wd_zero,1,C03_reverse_then_substitute_06_01,22215
wd_zero,1,C04_substitute_then_reverse_03_07,5546
wd_zero,1,C05_copy_then_substitute_07_06,2274
wd_zero,1,C06_reverse_then_substitute_01_05,13048
wd_zero,1,C07_substitute_then_reverse_07_03,6996
wd_zero,1,K00_shortcut_for_A07_reverse,2587
wd_zero,1,K01_shortcut_for_A03_copy,5002
wd_zero,1,K02_shortcut_for_A00_copy,2649
wd_zero,1,S00_surface_rotate,6362
wd_zero,1,S01_surface_rotate,2961
wd_zero,1,S02_surface_rotate,4282
wd_zero,1,U00_unrelated_substitute,10681
wd_zero,1,U01_unrelated_substitute,3078
wd_zero,1,U02_unrelated_substitute,8008
