condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
baseline,0,A00_copy,3602,0.01440154810644831,21612,0.01440154810644831,0.0142969842826973,atomic,copy,1.0,0.0,0.0142969842826973,0.00010456382375101034,250000
baseline,0,A01_reverse,70162,0.2805223259979529,420972,0.2805223259979529,0.280037251940008,atomic,reverse,2.0,0.275282575682427,0.280037251940008,0.0004850740579449009,250000
baseline,0,A02_substitute,2769,0.011071040174002048,16614,0.011071040174002048,0.0109061632033235,atomic,substitute,1.5,0.015236661713767,0.0109061632033235,0.00016487697067854752,250000
baseline,0,A03_copy,3257,0.013022166069600818,19542,0.013022166069600818,0.0134641728018988,atomic,copy,1.0,0.1857085856474374,0.0134641728018988,-0.00044200673229798267,250000
baseline,0,A04_reverse,4736,0.018935516888433982,28416,0.018935516888433982,0.018948519685711,atomic,reverse,2.0,0.0163049692906072,0.018948519685711,-1.3002797277016781e-05,250000
baseline,0,A05_substitute,3138,0.012546379222108495,18828,0.012546379222108495,0.0127210958869839,atomic,substitute,1.5,0.0669136627810593,0.0127210958869839,-0.00017471666487540484,250000
baseline,0,A06_copy,16352,0.06537871033776868,98112,0.06537871033776868,0.065320998729833,atomic,copy,1.0,0.0978927727593496,0.065320998729833,5.771160793567598e-05,250000
baseline,0,A07_reverse,8908,0.0356160440122825,53448,0.0356160440122825,0.0362963425666403,atomic,reverse,2.0,0.0763007530822595,0.0362963425666403,-0.0006802985543577986,250000
baseline,0,C00_reverse_then_substitute_02_05,3755,0.015013274053224156,22530,0.015013274053224156,0.015236661713767,composite,reverse_then_substitute,3.0,0.0,0.015236661713767,-0.00022338766054284462,250000
baseline,0,C01_substitute_then_reverse_01_03,33909,0.13557526228249744,203454,0.13557526228249744,0.1352490775505667,composite,substitute_then_reverse,3.0,0.0,0.1352490775505667,0.0003261847319307454,250000
baseline,0,C02_copy_then_substitute_04_07,4135,0.016532593398157627,24810,0.016532593398157627,0.0163049692906072,composite,copy_then_substitute,3.0,0.0,0.0163049692906072,0.00022762410755042609,250000
baseline,0,C03_reverse_then_substitute_06_01,22198,0.08875223899692937,133188,0.08875223899692937,0.088356497064568,composite,reverse_then_substitute,3.0,0.0,0.088356497064568,0.00039574193236137367,250000
baseline,0,C04_substitute_then_reverse_03_07,5685,0.022729817041965198,34110,0.022729817041965198,0.0225815364361807,composite,substitute_then_reverse,3.0,0.0,0.0225815364361807,0.00014828060578449959,250000
baseline,0,C05_copy_then_substitute_07_06,2436,0.009739636642784032,14616,0.009739636642784032,0.0095362756947815,composite,copy_then_substitute,3.0,0.0,0.0095362756947815,0.00020336094800253203,250000
baseline,0,C06_reverse_then_substitute_01_05,12988,0.051928735926305016,77928,0.051928735926305016,0.0516770010672922,composite,reverse_then_substitute,3.0,0.0,0.0516770010672922,0.0002517348590128157,250000
baseline,0,C07_substitute_then_reverse_07_03,6914,0.027643615660184237,41484,0.027643615660184237,0.0278779716606898,composite,substitute_then_reverse,3.0,0.0,0.0278779716606898,-0.0002343560005055624,250000
baseline,0,K00_shortcut_for_A07_reverse,2453,0.009807606192425794,14718,0.009807606192425794,0.0099539167317642,shortcut,shortcut_identity,1.0,0.0,0.0099539167317642,-0.00014631053933840572,250000
baseline,0,K01_shortcut_for_A03_copy,5124,0.020486821903787103,30744,0.020486821903787103,0.0206098816944667,shortcut,shortcut_identity,1.0,0.0,0.0206098816944667,-0.00012305979067959646,250000
baseline,0,K02_shortcut_for_A00_copy,2565,0.010255405578300921,15390,0.010255405578300921,0.0104088219420859,shortcut,shortcut_identity,1.0,0.0,0.0104088219420859,-0.0001534163637849778,250000
baseline,0,S00_surface_rotate,6280,0.025108751279426817,37680,0.025108751279426817,0.0249583463503928,surface_control,surface_rotate,2.0,0.0,0.0249583463503928,0.0001504049290340162,250000
baseline,0,S01_surface_rotate,2877,0.01150284672466735,17262,0.01150284672466735,0.0114521109717608,surface_control,surface_rotate,2.0,0.0,0.0114521109717608,5.0735752906549275e-05,250000
