condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_different_operation_matched_strong,2,A00_copy,atomic,116224.0,0.7,2,token_accuracy,0.7789713740348816,0.0078125,0.0078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A01_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9977213740348816,0.986328125,0.986328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A02_substitute,atomic,,0.7,2,token_accuracy,0.0234375,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A03_copy,atomic,108288.0,0.7,2,token_accuracy,0.76953125,0.001953125,0.001953125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A04_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9967448115348816,0.98046875,0.98046875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A05_substitute,atomic,,0.7,2,token_accuracy,0.0944010466337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A06_copy,atomic,116224.0,0.7,2,token_accuracy,0.7727864980697632,0.00390625,0.00390625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A07_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9977213740348816,0.986328125,0.986328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C00_reverse_then_substitute_02_05,composite,,0.7,2,token_accuracy,0.0358072929084301,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C01_substitute_then_reverse_01_03,composite,13568.0,0.7,2,token_accuracy,0.9964193105697632,0.978515625,0.978515625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C02_copy_then_substitute_04_07,composite,116224.0,0.7,2,token_accuracy,0.7711588740348816,0.001953125,0.001953125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C03_reverse_then_substitute_06_01,composite,13568.0,0.7,2,token_accuracy,0.9964193105697632,0.978515625,0.978515625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C04_substitute_then_reverse_03_07,composite,13568.0,0.7,2,token_accuracy,0.9973958730697632,0.984375,0.984375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C05_copy_then_substitute_07_06,composite,13568.0,0.7,2,token_accuracy,0.9957682490348816,0.9765625,0.9765625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C06_reverse_then_substitute_01_05,composite,,0.7,2,token_accuracy,0.5048828125,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C07_substitute_then_reverse_07_03,composite,13568.0,0.7,2,token_accuracy,0.9967448115348816,0.98046875,0.98046875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K00_shortcut_for_A07_reverse,shortcut,101120.0,0.7,2,token_accuracy,0.775390625,0.0078125,0.0078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K01_shortcut_for_A03_copy,shortcut,116224.0,0.7,2,token_accuracy,0.7779948115348816,0.01171875,0.01171875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K02_shortcut_for_A00_copy,shortcut,116224.0,0.7,2,token_accuracy,0.7861328125,0.0078125,0.0078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5504557490348816,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.55078125,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.0758463591337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.4095052182674408,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.01985677145421505,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.4052734375,0.0,0.0,token_accuracy,0.7
