condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,8,A00_copy,3558
corrupt_same_operation_unrelated_strong,8,A01_reverse,69986
corrupt_same_operation_unrelated_strong,8,A02_substitute,2670
corrupt_same_operation_unrelated_strong,8,A03_copy,3453
corrupt_same_operation_unrelated_strong,8,A04_reverse,4827
corrupt_same_operation_unrelated_strong,8,A05_substitute,3107
corrupt_same_operation_unrelated_strong,8,A06_copy,16442
corrupt_same_operation_unrelated_strong,8,A07_reverse,9092
corrupt_same_operation_unrelated_strong,8,C00_reverse_then_substitute_02_05,3860
corrupt_same_operation_unrelated_strong,8,C01_substitute_then_reverse_01_03,33851
corrupt_same_operation_unrelated_strong,8,C02_copy_then_substitute_04_07,4111
corrupt_same_operation_unrelated_strong,8,C03_reverse_then_substitute_06_01,21884
corrupt_same_operation_unrelated_strong,8,C04_substitute_then_reverse_03_07,5647
corrupt_same_operation_unrelated_strong,8,C05_copy_then_substitute_07_06,2343
corrupt_same_operation_unrelated_strong,8,C06_reverse_then_substitute_01_05,12843
corrupt_same_operation_unrelated_strong,8,C07_substitute_then_reverse_07_03,6961
corrupt_same_operation_unrelated_strong,8,K00_shortcut_for_A07_reverse,2551
corrupt_same_operation_unrelated_strong,8,K01_shortcut_for_A03_copy,5188
corrupt_same_operation_unrelated_strong,8,K02_shortcut_for_A00_copy,2605
corrupt_same_operation_unrelated_strong,8,S00_surface_rotate,6270
corrupt_same_operation_unrelated_strong,8,S01_surface_rotate,2940
corrupt_same_operation_unrelated_strong,8,S02_surface_rotate,4412
corrupt_same_operation_unrelated_strong,8,U00_unrelated_substitute,10730
corrupt_same_operation_unrelated_strong,8,U01_unrelated_substitute,2922
corrupt_same_operation_unrelated_strong,8,U02_unrelated_substitute,7859
