condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,8,A00_copy,3593
delay_same_operation_unrelated_strong,8,A01_reverse,70207
delay_same_operation_unrelated_strong,8,A02_substitute,2733
delay_same_operation_unrelated_strong,8,A03_copy,3470
delay_same_operation_unrelated_strong,8,A04_reverse,4733
delay_same_operation_unrelated_strong,8,A05_substitute,3169
delay_same_operation_unrelated_strong,8,A06_copy,16637
delay_same_operation_unrelated_strong,8,A07_reverse,9312
delay_same_operation_unrelated_strong,8,C00_reverse_then_substitute_02_05,3950
delay_same_operation_unrelated_strong,8,C01_substitute_then_reverse_01_03,33995
delay_same_operation_unrelated_strong,8,C02_copy_then_substitute_04_07,4144
delay_same_operation_unrelated_strong,8,C03_reverse_then_substitute_06_01,22353
delay_same_operation_unrelated_strong,8,C04_substitute_then_reverse_03_07,5749
delay_same_operation_unrelated_strong,8,C05_copy_then_substitute_07_06,2390
delay_same_operation_unrelated_strong,8,C06_reverse_then_substitute_01_05,13022
delay_same_operation_unrelated_strong,8,C07_substitute_then_reverse_07_03,7077
delay_same_operation_unrelated_strong,8,K00_shortcut_for_A07_reverse,2501
delay_same_operation_unrelated_strong,8,K01_shortcut_for_A03_copy,5082
delay_same_operation_unrelated_strong,8,K02_shortcut_for_A00_copy,2728
delay_same_operation_unrelated_strong,8,S00_surface_rotate,6233
delay_same_operation_unrelated_strong,8,S01_surface_rotate,2798
delay_same_operation_unrelated_strong,8,S02_surface_rotate,4423
delay_same_operation_unrelated_strong,8,U00_unrelated_substitute,10665
delay_same_operation_unrelated_strong,8,U01_unrelated_substitute,1228
delay_same_operation_unrelated_strong,8,U02_unrelated_substitute,7920
