condition,seed,task_name,realized_sample_count
pretrain_component,0,A00_copy,3530
pretrain_component,0,A01_reverse,70116
pretrain_component,0,A02_substitute,2750
pretrain_component,0,A03_copy,3251
pretrain_component,0,A04_reverse,4706
pretrain_component,0,A05_substitute,3199
pretrain_component,0,A06_copy,16337
pretrain_component,0,A07_reverse,8963
pretrain_component,0,C00_reverse_then_substitute_02_05,3769
pretrain_component,0,C01_substitute_then_reverse_01_03,33663
pretrain_component,0,C02_copy_then_substitute_04_07,4096
pretrain_component,0,C03_reverse_then_substitute_06_01,22245
pretrain_component,0,C04_substitute_then_reverse_03_07,5703
pretrain_component,0,C05_copy_then_substitute_07_06,2424
pretrain_component,0,C06_reverse_then_substitute_01_05,13063
pretrain_component,0,C07_substitute_then_reverse_07_03,6934
pretrain_component,0,K00_shortcut_for_A07_reverse,2446
pretrain_component,0,K01_shortcut_for_A03_copy,5216
pretrain_component,0,K02_shortcut_for_A00_copy,2628
pretrain_component,0,S00_surface_rotate,6181
pretrain_component,0,S01_surface_rotate,2892
pretrain_component,0,S02_surface_rotate,4477
pretrain_component,0,U00_unrelated_substitute,10572
pretrain_component,0,U01_unrelated_substitute,3078
pretrain_component,0,U02_unrelated_substitute,7873
