condition,seed,task_name,auc_token_accuracy
baseline,0,A00_copy,0.5744751494572314
baseline,0,A01_reverse,0.9451599198249583
baseline,0,A02_substitute,0.021999977709212637
baseline,0,A03_copy,0.5726331385098467
baseline,0,A04_reverse,0.945939738638966
baseline,0,A05_substitute,0.016910924407974738
baseline,0,A06_copy,0.571944614736022
baseline,0,A07_reverse,0.9460165316740408
baseline,0,C00_reverse_then_substitute_02_05,0.025651175865260993
baseline,0,C01_substitute_then_reverse_01_03,0.9453926531325343
baseline,0,C02_copy_then_substitute_04_07,0.573815781221808
baseline,0,C03_reverse_then_substitute_06_01,0.9459232434233843
baseline,0,C04_substitute_then_reverse_03_07,0.9457225051757135
baseline,0,C05_copy_then_substitute_07_06,0.9451084461400596
baseline,0,C06_reverse_then_substitute_01_05,0.1054412642162114
baseline,0,C07_substitute_then_reverse_07_03,0.9461359842971135
baseline,0,K00_shortcut_for_A07_reverse,0.5735270778354001
baseline,0,K01_shortcut_for_A03_copy,0.5729494983074899
baseline,0,K02_shortcut_for_A00_copy,0.5737306513845494
baseline,0,S00_surface_rotate,0.2492113603601192
baseline,0,S01_surface_rotate,0.24881420601655022
baseline,0,S02_surface_rotate,0.14546633601291611
baseline,0,U00_unrelated_substitute,0.18204494893070436
baseline,0,U01_unrelated_substitute,0.01882256803907329
baseline,0,U02_unrelated_substitute,0.18499129300530973
baseline,1,A00_copy,0.5633341458119917
baseline,1,A01_reverse,0.9436149412075948
baseline,1,A02_substitute,0.026912110784265496
baseline,1,A03_copy,0.5618722947112293
baseline,1,A04_reverse,0.9441235509053818
baseline,1,A05_substitute,0.026019677252889038
baseline,1,A06_copy,0.5628233679571211
baseline,1,A07_reverse,0.9433517300112968
baseline,1,C00_reverse_then_substitute_02_05,0.027501013439754914
baseline,1,C01_substitute_then_reverse_01_03,0.9437991971723896
baseline,1,C02_copy_then_substitute_04_07,0.5639213733070033
baseline,1,C03_reverse_then_substitute_06_01,0.9433177467206819
baseline,1,C04_substitute_then_reverse_03_07,0.9438944888532833
baseline,1,C05_copy_then_substitute_07_06,0.944002439655905
baseline,1,C06_reverse_then_substitute_01_05,0.14294679737026375
baseline,1,C07_substitute_then_reverse_07_03,0.943513321037287
baseline,1,K00_shortcut_for_A07_reverse,0.5628803436774971
baseline,1,K01_shortcut_for_A03_copy,0.5601050916328996
baseline,1,K02_shortcut_for_A00_copy,0.5621879917923113
baseline,1,S00_surface_rotate,0.25658539113728757
baseline,1,S01_surface_rotate,0.2601352998207084
baseline,1,S02_surface_rotate,0.17713531553688075
baseline,1,U00_unrelated_substitute,0.1567309565199663
baseline,1,U01_unrelated_substitute,0.02315662638832382
baseline,1,U02_unrelated_substitute,0.15855613769725072
baseline,2,A00_copy,0.5807530038962436
baseline,2,A01_reverse,0.9440883951873624
baseline,2,A02_substitute,0.02630438314352332
baseline,2,A03_copy,0.5805762525020642
baseline,2,A04_reverse,0.9447817544680672
baseline,2,A05_substitute,0.040095538322259955
baseline,2,A06_copy,0.5791312389985154
baseline,2,A07_reverse,0.9448107448906973
baseline,2,C00_reverse_then_substitute_02_05,0.029983402036336315
baseline,2,C01_substitute_then_reverse_01_03,0.944355782792506
baseline,2,C02_copy_then_substitute_04_07,0.5802610582255491
baseline,2,C03_reverse_then_substitute_06_01,0.9448547213354521
baseline,2,C04_substitute_then_reverse_03_07,0.9443044731023597
baseline,2,C05_copy_then_substitute_07_06,0.9447367785807352
baseline,2,C06_reverse_then_substitute_01_05,0.13746775122399132
baseline,2,C07_substitute_then_reverse_07_03,0.9448627220731736
baseline,2,K00_shortcut_for_A07_reverse,0.579940035354876
baseline,2,K01_shortcut_for_A03_copy,0.5803795070144345
baseline,2,K02_shortcut_for_A00_copy,0.5798800595394481
baseline,2,S00_surface_rotate,0.30082640456590526
baseline,2,S01_surface_rotate,0.29880614454611115
baseline,2,S02_surface_rotate,0.1846006382333006
baseline,2,U00_unrelated_substitute,0.14431985016977042
baseline,2,U01_unrelated_substitute,0.02247176665675462
baseline,2,U02_unrelated_substitute,0.14504002478591405
baseline,3,A00_copy,0.5120487836920709
baseline,3,A01_reverse,0.9429379123069552
baseline,3,A02_substitute,0.03387199323853152
baseline,3,A03_copy,0.5115611727664985
baseline,3,A04_reverse,0.9417083009156639
baseline,3,A05_substitute,0.03488937035744424
baseline,3,A06_copy,0.5104903215046747
baseline,3,A07_reverse,0.9425287608022943
baseline,3,C00_reverse_then_substitute_02_05,0.030951301334664113
baseline,3,C01_substitute_then_reverse_01_03,0.942678696148006
baseline,3,C02_copy_then_substitute_04_07,0.5132833944296153
baseline,3,C03_reverse_then_substitute_06_01,0.9420836341501564
baseline,3,C04_substitute_then_reverse_03_07,0.942224565609344
baseline,3,C05_copy_then_substitute_07_06,0.9427333413122818
baseline,3,C06_reverse_then_substitute_01_05,0.11287826671277398
baseline,3,C07_substitute_then_reverse_07_03,0.9428946023269298
baseline,3,K00_shortcut_for_A07_reverse,0.5135416162229822
baseline,3,K01_shortcut_for_A03_copy,0.5122493569192952
baseline,3,K02_shortcut_for_A00_copy,0.5119959742303637
baseline,3,S00_surface_rotate,0.2580439045438076
baseline,3,S01_surface_rotate,0.25862664316982
baseline,3,S02_surface_rotate,0.2527176221840259
baseline,3,U00_unrelated_substitute,0.09811304803621196
baseline,3,U01_unrelated_substitute,0.029058149428571066
baseline,3,U02_unrelated_substitute,0.09729824718202301
baseline,4,A00_copy,0.5416287002968722
baseline,4,A01_reverse,0.9447057939610208
baseline,4,A02_substitute,0.037294793271573076
baseline,4,A03_copy,0.5426604014591618
baseline,4,A04_reverse,0.9449025391674426
baseline,4,A05_substitute,0.04813227149064031
baseline,4,A06_copy,0.541228046996315
baseline,4,A07_reverse,0.9451121110183128
baseline,4,C00_reverse_then_substitute_02_05,0.031132053722081242
baseline,4,C01_substitute_then_reverse_01_03,0.944746103601963
baseline,4,C02_copy_then_substitute_04_07,0.5414197934455903
baseline,4,C03_reverse_then_substitute_06_01,0.9446589782187751
baseline,4,C04_substitute_then_reverse_03_07,0.9447592690285818
baseline,4,C05_copy_then_substitute_07_06,0.9448292359439018
baseline,4,C06_reverse_then_substitute_01_05,0.15061785878569264
baseline,4,C07_substitute_then_reverse_07_03,0.9443807694727332
baseline,4,K00_shortcut_for_A07_reverse,0.5422187720148032
baseline,4,K01_shortcut_for_A03_copy,0.5423790325240033
baseline,4,K02_shortcut_for_A00_copy,0.5436039862271586
baseline,4,S00_surface_rotate,0.25374999359924966
baseline,4,S01_surface_rotate,0.25328953571888324
baseline,4,S02_surface_rotate,0.25857333367082275
baseline,4,U00_unrelated_substitute,0.11879195190561953
baseline,4,U01_unrelated_substitute,0.030740895646003696
baseline,4,U02_unrelated_substitute,0.1171263628663112
baseline,5,A00_copy,0.5607039891011791
baseline,5,A01_reverse,0.9440452538939725
baseline,5,A02_substitute,0.031947521811223435
baseline,5,A03_copy,0.5628273649247956
baseline,5,A04_reverse,0.943975452168777
baseline,5,A05_substitute,0.037716604133413954
baseline,5,A06_copy,0.5614556540013458
baseline,5,A07_reverse,0.9442406671136968
baseline,5,C00_reverse_then_substitute_02_05,0.030360399306910972
baseline,5,C01_substitute_then_reverse_01_03,0.9440937364338577
baseline,5,C02_copy_then_substitute_04_07,0.5620455490177385
baseline,5,C03_reverse_then_substitute_06_01,0.944262656948492
baseline,5,C04_substitute_then_reverse_03_07,0.9448159099256233
baseline,5,C05_copy_then_substitute_07_06,0.943863333347792
baseline,5,C06_reverse_then_substitute_01_05,0.15318754279432903
baseline,5,C07_substitute_then_reverse_07_03,0.9445491956790933
baseline,5,K00_shortcut_for_A07_reverse,0.5626347927346124
baseline,5,K01_shortcut_for_A03_copy,0.5606316870923022
baseline,5,K02_shortcut_for_A00_copy,0.5617040407232856
baseline,5,S00_surface_rotate,0.2807827172505392
baseline,5,S01_surface_rotate,0.28093464805829427
baseline,5,S02_surface_rotate,0.1988064396998701
baseline,5,U00_unrelated_substitute,0.12763165968528423
baseline,5,U01_unrelated_substitute,0.025551553551553752
baseline,5,U02_unrelated_substitute,0.12917629859964064
baseline,6,A00_copy,0.6167115604394366
