condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
baseline,3,A00_copy,atomic,,0.7,2,token_accuracy,0.7115885615348816,0.0078125,0.0078125,token_accuracy,0.7
baseline,3,A01_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9921875,0.955078125,0.955078125,token_accuracy,0.7
baseline,3,A02_substitute,atomic,,0.7,2,token_accuracy,0.0403645858168602,0.0,0.0,token_accuracy,0.7
baseline,3,A03_copy,atomic,,0.7,2,token_accuracy,0.7041015625,0.01171875,0.01171875,token_accuracy,0.7
baseline,3,A04_reverse,atomic,13568.0,0.7,2,token_accuracy,0.98828125,0.9296875,0.9296875,token_accuracy,0.7
baseline,3,A05_substitute,atomic,,0.7,2,token_accuracy,0.0735677108168602,0.0,0.0,token_accuracy,0.7
baseline,3,A06_copy,atomic,,0.7,2,token_accuracy,0.6962890625,0.009765625,0.009765625,token_accuracy,0.7
baseline,3,A07_reverse,atomic,13568.0,0.7,2,token_accuracy,0.98828125,0.931640625,0.931640625,token_accuracy,0.7
baseline,3,C00_reverse_then_substitute_02_05,composite,,0.7,2,token_accuracy,0.0374348983168602,0.0,0.0,token_accuracy,0.7
baseline,3,C01_substitute_then_reverse_01_03,composite,13568.0,0.7,2,token_accuracy,0.9915364980697632,0.951171875,0.951171875,token_accuracy,0.7
baseline,3,C02_copy_then_substitute_04_07,composite,,0.7,2,token_accuracy,0.7099609375,0.005859375,0.005859375,token_accuracy,0.7
baseline,3,C03_reverse_then_substitute_06_01,composite,13568.0,0.7,2,token_accuracy,0.9879557490348816,0.927734375,0.927734375,token_accuracy,0.7
baseline,3,C04_substitute_then_reverse_03_07,composite,13568.0,0.7,2,token_accuracy,0.990234375,0.943359375,0.943359375,token_accuracy,0.7
baseline,3,C05_copy_then_substitute_07_06,composite,13568.0,0.7,2,token_accuracy,0.9899088740348816,0.939453125,0.939453125,token_accuracy,0.7
baseline,3,C06_reverse_then_substitute_01_05,composite,,0.7,2,token_accuracy,0.3382161557674408,0.0,0.0,token_accuracy,0.7
baseline,3,C07_substitute_then_reverse_07_03,composite,13568.0,0.7,2,token_accuracy,0.9908854365348816,0.9453125,0.9453125,token_accuracy,0.7
baseline,3,K00_shortcut_for_A07_reverse,shortcut,,0.7,2,token_accuracy,0.7164713740348816,0.015625,0.015625,token_accuracy,0.7
baseline,3,K01_shortcut_for_A03_copy,shortcut,,0.7,2,token_accuracy,0.7086588740348816,0.00390625,0.00390625,token_accuracy,0.7
baseline,3,K02_shortcut_for_A00_copy,shortcut,,0.7,2,token_accuracy,0.712890625,0.009765625,0.009765625,token_accuracy,0.7
baseline,3,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3385416865348816,0.0,0.0,token_accuracy,0.7
baseline,3,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3294270932674408,0.0,0.0,token_accuracy,0.7
baseline,3,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2177734375,0.0,0.0,token_accuracy,0.7
baseline,3,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1985677182674408,0.0,0.0,token_accuracy,0.7
baseline,3,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0309244804084301,0.0,0.0,token_accuracy,0.7
baseline,3,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1949869841337204,0.0,0.0,token_accuracy,0.7
