condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_component_strong,8,A00_copy,atomic,176384.0,0.7,2,token_accuracy,0.7815755605697632,0.015625,0.015625,token_accuracy,0.7
corrupt_component_strong,8,A01_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9951171875,0.970703125,0.970703125,token_accuracy,0.7
corrupt_component_strong,8,A02_substitute,atomic,,0.7,2,token_accuracy,0.0309244804084301,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,A03_copy,atomic,176384.0,0.7,2,token_accuracy,0.7825521230697632,0.005859375,0.005859375,token_accuracy,0.7
corrupt_component_strong,8,A04_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9954427480697632,0.97265625,0.97265625,token_accuracy,0.7
corrupt_component_strong,8,A05_substitute,atomic,,0.7,2,token_accuracy,0.0185546875,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,A06_copy,atomic,176384.0,0.7,2,token_accuracy,0.7802734375,0.0078125,0.0078125,token_accuracy,0.7
corrupt_component_strong,8,A07_reverse,atomic,13568.0,0.7,2,token_accuracy,0.9951171875,0.970703125,0.970703125,token_accuracy,0.7
corrupt_component_strong,8,C00_reverse_then_substitute_02_05,composite,,0.7,2,token_accuracy,0.02962239645421505,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,C01_substitute_then_reverse_01_03,composite,13568.0,0.7,2,token_accuracy,0.994140625,0.96484375,0.96484375,token_accuracy,0.7
corrupt_component_strong,8,C02_copy_then_substitute_04_07,composite,176384.0,0.7,2,token_accuracy,0.7760416865348816,0.013671875,0.013671875,token_accuracy,0.7
corrupt_component_strong,8,C03_reverse_then_substitute_06_01,composite,13568.0,0.7,2,token_accuracy,0.9970703125,0.982421875,0.982421875,token_accuracy,0.7
corrupt_component_strong,8,C04_substitute_then_reverse_03_07,composite,13568.0,0.7,2,token_accuracy,0.9954427480697632,0.97265625,0.97265625,token_accuracy,0.7
corrupt_component_strong,8,C05_copy_then_substitute_07_06,composite,13568.0,0.7,2,token_accuracy,0.9947916865348816,0.96875,0.96875,token_accuracy,0.7
corrupt_component_strong,8,C06_reverse_then_substitute_01_05,composite,,0.7,2,token_accuracy,0.2083333432674408,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,C07_substitute_then_reverse_07_03,composite,13568.0,0.7,2,token_accuracy,0.9951171875,0.970703125,0.970703125,token_accuracy,0.7
corrupt_component_strong,8,K00_shortcut_for_A07_reverse,shortcut,176384.0,0.7,2,token_accuracy,0.7805989980697632,0.01171875,0.01171875,token_accuracy,0.7
corrupt_component_strong,8,K01_shortcut_for_A03_copy,shortcut,176384.0,0.7,2,token_accuracy,0.7858073115348816,0.0078125,0.0078125,token_accuracy,0.7
corrupt_component_strong,8,K02_shortcut_for_A00_copy,shortcut,176384.0,0.7,2,token_accuracy,0.7861328125,0.005859375,0.005859375,token_accuracy,0.7
corrupt_component_strong,8,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.43359375,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4274088740348816,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.0833333358168602,0.001953125,0.001953125,token_accuracy,0.7
corrupt_component_strong,8,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.3951823115348816,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.02278645895421505,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,8,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.4075520932674408,0.0,0.0,token_accuracy,0.7
