condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched_strong,8,A00_copy,3631
corrupt_different_operation_matched_strong,8,A01_reverse,69939
corrupt_different_operation_matched_strong,8,A02_substitute,2751
corrupt_different_operation_matched_strong,8,A03_copy,3321
corrupt_different_operation_matched_strong,8,A04_reverse,4687
corrupt_different_operation_matched_strong,8,A05_substitute,3178
corrupt_different_operation_matched_strong,8,A06_copy,16304
corrupt_different_operation_matched_strong,8,A07_reverse,9162
corrupt_different_operation_matched_strong,8,C00_reverse_then_substitute_02_05,3866
corrupt_different_operation_matched_strong,8,C01_substitute_then_reverse_01_03,33681
corrupt_different_operation_matched_strong,8,C02_copy_then_substitute_04_07,4075
corrupt_different_operation_matched_strong,8,C03_reverse_then_substitute_06_01,22291
corrupt_different_operation_matched_strong,8,C04_substitute_then_reverse_03_07,5630
corrupt_different_operation_matched_strong,8,C05_copy_then_substitute_07_06,2390
corrupt_different_operation_matched_strong,8,C06_reverse_then_substitute_01_05,13094
corrupt_different_operation_matched_strong,8,C07_substitute_then_reverse_07_03,6888
corrupt_different_operation_matched_strong,8,K00_shortcut_for_A07_reverse,2523
corrupt_different_operation_matched_strong,8,K01_shortcut_for_A03_copy,5100
corrupt_different_operation_matched_strong,8,K02_shortcut_for_A00_copy,2667
corrupt_different_operation_matched_strong,8,S00_surface_rotate,6215
corrupt_different_operation_matched_strong,8,S01_surface_rotate,2840
corrupt_different_operation_matched_strong,8,S02_surface_rotate,4397
corrupt_different_operation_matched_strong,8,U00_unrelated_substitute,10625
corrupt_different_operation_matched_strong,8,U01_unrelated_substitute,3018
corrupt_different_operation_matched_strong,8,U02_unrelated_substitute,7839
