condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,2,A00_copy,3541
corrupt_same_operation_unrelated_strong,2,A01_reverse,69934
corrupt_same_operation_unrelated_strong,2,A02_substitute,2728
corrupt_same_operation_unrelated_strong,2,A03_copy,3387
corrupt_same_operation_unrelated_strong,2,A04_reverse,4639
corrupt_same_operation_unrelated_strong,2,A05_substitute,3211
corrupt_same_operation_unrelated_strong,2,A06_copy,16194
corrupt_same_operation_unrelated_strong,2,A07_reverse,9006
corrupt_same_operation_unrelated_strong,2,C00_reverse_then_substitute_02_05,3723
corrupt_same_operation_unrelated_strong,2,C01_substitute_then_reverse_01_03,34203
corrupt_same_operation_unrelated_strong,2,C02_copy_then_substitute_04_07,4053
corrupt_same_operation_unrelated_strong,2,C03_reverse_then_substitute_06_01,22179
corrupt_same_operation_unrelated_strong,2,C04_substitute_then_reverse_03_07,5747
corrupt_same_operation_unrelated_strong,2,C05_copy_then_substitute_07_06,2358
corrupt_same_operation_unrelated_strong,2,C06_reverse_then_substitute_01_05,12997
corrupt_same_operation_unrelated_strong,2,C07_substitute_then_reverse_07_03,7068
corrupt_same_operation_unrelated_strong,2,K00_shortcut_for_A07_reverse,2538
corrupt_same_operation_unrelated_strong,2,K01_shortcut_for_A03_copy,5172
corrupt_same_operation_unrelated_strong,2,K02_shortcut_for_A00_copy,2590
corrupt_same_operation_unrelated_strong,2,S00_surface_rotate,6250
corrupt_same_operation_unrelated_strong,2,S01_surface_rotate,2892
corrupt_same_operation_unrelated_strong,2,S02_surface_rotate,4365
corrupt_same_operation_unrelated_strong,2,U00_unrelated_substitute,10566
corrupt_same_operation_unrelated_strong,2,U01_unrelated_substitute,3021
corrupt_same_operation_unrelated_strong,2,U02_unrelated_substitute,7750
