condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,1,A00_copy,3802
delay_different_operation_matched_strong,1,A01_reverse,71945
delay_different_operation_matched_strong,1,A02_substitute,2801
delay_different_operation_matched_strong,1,A03_copy,3403
delay_different_operation_matched_strong,1,A04_reverse,4829
delay_different_operation_matched_strong,1,A05_substitute,3217
delay_different_operation_matched_strong,1,A06_copy,16754
delay_different_operation_matched_strong,1,A07_reverse,9254
delay_different_operation_matched_strong,1,C00_reverse_then_substitute_02_05,3842
delay_different_operation_matched_strong,1,C01_substitute_then_reverse_01_03,34545
delay_different_operation_matched_strong,1,C02_copy_then_substitute_04_07,4189
delay_different_operation_matched_strong,1,C03_reverse_then_substitute_06_01,22691
delay_different_operation_matched_strong,1,C04_substitute_then_reverse_03_07,5787
delay_different_operation_matched_strong,1,C05_copy_then_substitute_07_06,2378
delay_different_operation_matched_strong,1,C06_reverse_then_substitute_01_05,13407
delay_different_operation_matched_strong,1,C07_substitute_then_reverse_07_03,7106
delay_different_operation_matched_strong,1,K00_shortcut_for_A07_reverse,2591
delay_different_operation_matched_strong,1,K01_shortcut_for_A03_copy,5272
delay_different_operation_matched_strong,1,K02_shortcut_for_A00_copy,2801
delay_different_operation_matched_strong,1,S00_surface_rotate,6382
delay_different_operation_matched_strong,1,S01_surface_rotate,2996
delay_different_operation_matched_strong,1,S02_surface_rotate,4494
delay_different_operation_matched_strong,1,U00_unrelated_substitute,4242
delay_different_operation_matched_strong,1,U01_unrelated_substitute,3174
delay_different_operation_matched_strong,1,U02_unrelated_substitute,8210
