condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,2,A00_copy,3627
delay_same_operation_unrelated_strong,2,A01_reverse,71731
delay_same_operation_unrelated_strong,2,A02_substitute,2700
delay_same_operation_unrelated_strong,2,A03_copy,3406
delay_same_operation_unrelated_strong,2,A04_reverse,4842
delay_same_operation_unrelated_strong,2,A05_substitute,3311
delay_same_operation_unrelated_strong,2,A06_copy,16547
delay_same_operation_unrelated_strong,2,A07_reverse,3647
delay_same_operation_unrelated_strong,2,C00_reverse_then_substitute_02_05,3856
delay_same_operation_unrelated_strong,2,C01_substitute_then_reverse_01_03,34664
delay_same_operation_unrelated_strong,2,C02_copy_then_substitute_04_07,4157
delay_same_operation_unrelated_strong,2,C03_reverse_then_substitute_06_01,22559
delay_same_operation_unrelated_strong,2,C04_substitute_then_reverse_03_07,5884
delay_same_operation_unrelated_strong,2,C05_copy_then_substitute_07_06,2355
delay_same_operation_unrelated_strong,2,C06_reverse_then_substitute_01_05,13277
delay_same_operation_unrelated_strong,2,C07_substitute_then_reverse_07_03,7138
delay_same_operation_unrelated_strong,2,K00_shortcut_for_A07_reverse,2606
delay_same_operation_unrelated_strong,2,K01_shortcut_for_A03_copy,5212
delay_same_operation_unrelated_strong,2,K02_shortcut_for_A00_copy,2750
delay_same_operation_unrelated_strong,2,S00_surface_rotate,6371
delay_same_operation_unrelated_strong,2,S01_surface_rotate,2972
delay_same_operation_unrelated_strong,2,S02_surface_rotate,4546
delay_same_operation_unrelated_strong,2,U00_unrelated_substitute,10904
delay_same_operation_unrelated_strong,2,U01_unrelated_substitute,3133
delay_same_operation_unrelated_strong,2,U02_unrelated_substitute,7917
