condition,seed,task_name,realized_sample_count
baseline,1,A00_copy,3718
baseline,1,A01_reverse,70080
baseline,1,A02_substitute,2699
baseline,1,A03_copy,3366
baseline,1,A04_reverse,4725
baseline,1,A05_substitute,3068
baseline,1,A06_copy,16328
baseline,1,A07_reverse,8981
baseline,1,C00_reverse_then_substitute_02_05,3803
baseline,1,C01_substitute_then_reverse_01_03,33631
baseline,1,C02_copy_then_substitute_04_07,4024
baseline,1,C03_reverse_then_substitute_06_01,22215
baseline,1,C04_substitute_then_reverse_03_07,5546
baseline,1,C05_copy_then_substitute_07_06,2274
baseline,1,C06_reverse_then_substitute_01_05,13048
baseline,1,C07_substitute_then_reverse_07_03,6996
baseline,1,K00_shortcut_for_A07_reverse,2587
baseline,1,K01_shortcut_for_A03_copy,5002
baseline,1,K02_shortcut_for_A00_copy,2649
baseline,1,S00_surface_rotate,6362
baseline,1,S01_surface_rotate,2961
baseline,1,S02_surface_rotate,4282
baseline,1,U00_unrelated_substitute,10681
baseline,1,U01_unrelated_substitute,3078
baseline,1,U02_unrelated_substitute,8008
