condition,seed,task_name,realized_sample_count
delay_component_strong,4,A00_copy,3602
delay_component_strong,4,A01_reverse,70472
delay_component_strong,4,A02_substitute,1115
delay_component_strong,4,A03_copy,3349
delay_component_strong,4,A04_reverse,4624
delay_component_strong,4,A05_substitute,3182
delay_component_strong,4,A06_copy,16451
delay_component_strong,4,A07_reverse,9035
delay_component_strong,4,C00_reverse_then_substitute_02_05,3771
delay_component_strong,4,C01_substitute_then_reverse_01_03,34188
delay_component_strong,4,C02_copy_then_substitute_04_07,4106
delay_component_strong,4,C03_reverse_then_substitute_06_01,22169
delay_component_strong,4,C04_substitute_then_reverse_03_07,5749
delay_component_strong,4,C05_copy_then_substitute_07_06,2478
delay_component_strong,4,C06_reverse_then_substitute_01_05,13071
delay_component_strong,4,C07_substitute_then_reverse_07_03,7092
delay_component_strong,4,K00_shortcut_for_A07_reverse,2523
delay_component_strong,4,K01_shortcut_for_A03_copy,5086
delay_component_strong,4,K02_shortcut_for_A00_copy,2629
delay_component_strong,4,S00_surface_rotate,6188
delay_component_strong,4,S01_surface_rotate,2865
delay_component_strong,4,S02_surface_rotate,4475
delay_component_strong,4,U00_unrelated_substitute,10771
delay_component_strong,4,U01_unrelated_substitute,3040
delay_component_strong,4,U02_unrelated_substitute,8081
