condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,2,A00_copy,3576
delay_different_operation_matched_strong,2,A01_reverse,70731
delay_different_operation_matched_strong,2,A02_substitute,2678
delay_different_operation_matched_strong,2,A03_copy,1354
delay_different_operation_matched_strong,2,A04_reverse,4676
delay_different_operation_matched_strong,2,A05_substitute,3219
delay_different_operation_matched_strong,2,A06_copy,16395
delay_different_operation_matched_strong,2,A07_reverse,9085
delay_different_operation_matched_strong,2,C00_reverse_then_substitute_02_05,3912
delay_different_operation_matched_strong,2,C01_substitute_then_reverse_01_03,34144
delay_different_operation_matched_strong,2,C02_copy_then_substitute_04_07,4122
delay_different_operation_matched_strong,2,C03_reverse_then_substitute_06_01,22225
delay_different_operation_matched_strong,2,C04_substitute_then_reverse_03_07,5748
delay_different_operation_matched_strong,2,C05_copy_then_substitute_07_06,2355
delay_different_operation_matched_strong,2,C06_reverse_then_substitute_01_05,13039
delay_different_operation_matched_strong,2,C07_substitute_then_reverse_07_03,7080
delay_different_operation_matched_strong,2,K00_shortcut_for_A07_reverse,2570
delay_different_operation_matched_strong,2,K01_shortcut_for_A03_copy,5129
delay_different_operation_matched_strong,2,K02_shortcut_for_A00_copy,2700
delay_different_operation_matched_strong,2,S00_surface_rotate,6335
delay_different_operation_matched_strong,2,S01_surface_rotate,2927
delay_different_operation_matched_strong,2,S02_surface_rotate,4456
delay_different_operation_matched_strong,2,U00_unrelated_substitute,10775
delay_different_operation_matched_strong,2,U01_unrelated_substitute,3057
delay_different_operation_matched_strong,2,U02_unrelated_substitute,7824
