condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,5,A00_copy,3679
delay_same_operation_unrelated_strong,5,A01_reverse,70486
delay_same_operation_unrelated_strong,5,A02_substitute,2804
delay_same_operation_unrelated_strong,5,A03_copy,3431
delay_same_operation_unrelated_strong,5,A04_reverse,4922
delay_same_operation_unrelated_strong,5,A05_substitute,3222
delay_same_operation_unrelated_strong,5,A06_copy,16543
delay_same_operation_unrelated_strong,5,A07_reverse,9001
delay_same_operation_unrelated_strong,5,C00_reverse_then_substitute_02_05,3784
delay_same_operation_unrelated_strong,5,C01_substitute_then_reverse_01_03,33800
delay_same_operation_unrelated_strong,5,C02_copy_then_substitute_04_07,4123
delay_same_operation_unrelated_strong,5,C03_reverse_then_substitute_06_01,22255
delay_same_operation_unrelated_strong,5,C04_substitute_then_reverse_03_07,5692
delay_same_operation_unrelated_strong,5,C05_copy_then_substitute_07_06,2349
delay_same_operation_unrelated_strong,5,C06_reverse_then_substitute_01_05,13132
delay_same_operation_unrelated_strong,5,C07_substitute_then_reverse_07_03,6994
delay_same_operation_unrelated_strong,5,K00_shortcut_for_A07_reverse,2465
delay_same_operation_unrelated_strong,5,K01_shortcut_for_A03_copy,5309
delay_same_operation_unrelated_strong,5,K02_shortcut_for_A00_copy,2636
delay_same_operation_unrelated_strong,5,S00_surface_rotate,6307
delay_same_operation_unrelated_strong,5,S01_surface_rotate,2868
delay_same_operation_unrelated_strong,5,S02_surface_rotate,4586
delay_same_operation_unrelated_strong,5,U00_unrelated_substitute,10720
delay_same_operation_unrelated_strong,5,U01_unrelated_substitute,1158
delay_same_operation_unrelated_strong,5,U02_unrelated_substitute,7846
