condition,seed,task_name,realized_sample_count
corrupt_component_strong,3,A00_copy,3632
corrupt_component_strong,3,A01_reverse,70194
corrupt_component_strong,3,A02_substitute,2762
corrupt_component_strong,3,A03_copy,3267
corrupt_component_strong,3,A04_reverse,4707
corrupt_component_strong,3,A05_substitute,3221
corrupt_component_strong,3,A06_copy,16262
corrupt_component_strong,3,A07_reverse,9067
corrupt_component_strong,3,C00_reverse_then_substitute_02_05,3664
corrupt_component_strong,3,C01_substitute_then_reverse_01_03,33838
corrupt_component_strong,3,C02_copy_then_substitute_04_07,4168
corrupt_component_strong,3,C03_reverse_then_substitute_06_01,22085
corrupt_component_strong,3,C04_substitute_then_reverse_03_07,5723
corrupt_component_strong,3,C05_copy_then_substitute_07_06,2369
corrupt_component_strong,3,C06_reverse_then_substitute_01_05,12821
corrupt_component_strong,3,C07_substitute_then_reverse_07_03,6940
corrupt_component_strong,3,K00_shortcut_for_A07_reverse,2555
corrupt_component_strong,3,K01_shortcut_for_A03_copy,5154
corrupt_component_strong,3,K02_shortcut_for_A00_copy,2644
corrupt_component_strong,3,S00_surface_rotate,6301
corrupt_component_strong,3,S01_surface_rotate,2862
corrupt_component_strong,3,S02_surface_rotate,4466
corrupt_component_strong,3,U00_unrelated_substitute,10687
corrupt_component_strong,3,U01_unrelated_substitute,2971
corrupt_component_strong,3,U02_unrelated_substitute,7752
