condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched_strong,5,A00_copy,3608
corrupt_different_operation_matched_strong,5,A01_reverse,69554
corrupt_different_operation_matched_strong,5,A02_substitute,2789
corrupt_different_operation_matched_strong,5,A03_copy,3459
corrupt_different_operation_matched_strong,5,A04_reverse,4858
corrupt_different_operation_matched_strong,5,A05_substitute,3223
corrupt_different_operation_matched_strong,5,A06_copy,16432
corrupt_different_operation_matched_strong,5,A07_reverse,9069
corrupt_different_operation_matched_strong,5,C00_reverse_then_substitute_02_05,3827
corrupt_different_operation_matched_strong,5,C01_substitute_then_reverse_01_03,33953
corrupt_different_operation_matched_strong,5,C02_copy_then_substitute_04_07,4027
corrupt_different_operation_matched_strong,5,C03_reverse_then_substitute_06_01,22241
corrupt_different_operation_matched_strong,5,C04_substitute_then_reverse_03_07,5638
corrupt_different_operation_matched_strong,5,C05_copy_then_substitute_07_06,2317
corrupt_different_operation_matched_strong,5,C06_reverse_then_substitute_01_05,13070
corrupt_different_operation_matched_strong,5,C07_substitute_then_reverse_07_03,6941
corrupt_different_operation_matched_strong,5,K00_shortcut_for_A07_reverse,2409
corrupt_different_operation_matched_strong,5,K01_shortcut_for_A03_copy,5073
corrupt_different_operation_matched_strong,5,K02_shortcut_for_A00_copy,2653
corrupt_different_operation_matched_strong,5,S00_surface_rotate,6251
corrupt_different_operation_matched_strong,5,S01_surface_rotate,2923
corrupt_different_operation_matched_strong,5,S02_surface_rotate,4371
corrupt_different_operation_matched_strong,5,U00_unrelated_substitute,10578
corrupt_different_operation_matched_strong,5,U01_unrelated_substitute,2971
corrupt_different_operation_matched_strong,5,U02_unrelated_substitute,7877
