condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,1,A00_copy,3456
corrupt_same_operation_unrelated_strong,1,A01_reverse,69924
corrupt_same_operation_unrelated_strong,1,A02_substitute,2727
corrupt_same_operation_unrelated_strong,1,A03_copy,3362
corrupt_same_operation_unrelated_strong,1,A04_reverse,4803
corrupt_same_operation_unrelated_strong,1,A05_substitute,3167
corrupt_same_operation_unrelated_strong,1,A06_copy,16545
corrupt_same_operation_unrelated_strong,1,A07_reverse,9027
corrupt_same_operation_unrelated_strong,1,C00_reverse_then_substitute_02_05,3801
corrupt_same_operation_unrelated_strong,1,C01_substitute_then_reverse_01_03,33660
corrupt_same_operation_unrelated_strong,1,C02_copy_then_substitute_04_07,4025
corrupt_same_operation_unrelated_strong,1,C03_reverse_then_substitute_06_01,22168
corrupt_same_operation_unrelated_strong,1,C04_substitute_then_reverse_03_07,5678
corrupt_same_operation_unrelated_strong,1,C05_copy_then_substitute_07_06,2405
corrupt_same_operation_unrelated_strong,1,C06_reverse_then_substitute_01_05,12835
corrupt_same_operation_unrelated_strong,1,C07_substitute_then_reverse_07_03,6857
corrupt_same_operation_unrelated_strong,1,K00_shortcut_for_A07_reverse,2497
corrupt_same_operation_unrelated_strong,1,K01_shortcut_for_A03_copy,5056
corrupt_same_operation_unrelated_strong,1,K02_shortcut_for_A00_copy,2603
corrupt_same_operation_unrelated_strong,1,S00_surface_rotate,6348
corrupt_same_operation_unrelated_strong,1,S01_surface_rotate,3034
corrupt_same_operation_unrelated_strong,1,S02_surface_rotate,4364
corrupt_same_operation_unrelated_strong,1,U00_unrelated_substitute,10820
corrupt_same_operation_unrelated_strong,1,U01_unrelated_substitute,3026
corrupt_same_operation_unrelated_strong,1,U02_unrelated_substitute,7924
